input,time
0,0.000025
100,0.000033
200,0.000046
300,0.000052
400,0.000059
500,0.000073
600,0.000079
700,0.000087
800,0.000091
900,0.000098
1000,0.000104
1100,0.000112
1200,0.000123
1300,0.000130
1400,0.000137
1500,0.000144
1600,0.000151
1700,0.000158
1800,0.000166
1900,0.000173
2000,0.000178
2100,0.000202
2200,0.000195
2300,0.000202
2400,0.000210
2500,0.000216
2600,0.000277
2700,0.000287
2800,0.000283
2900,0.000296
3000,0.000303
3100,0.000337
3200,0.000351
3300,0.000345
3400,0.000308
3500,0.000294
3600,0.000289
3700,0.000292
3800,0.000296
3900,0.000305
4000,0.000327
4100,0.000308
4200,0.000314
4300,0.000320
4400,0.000335
4500,0.000386
4600,0.000447
4700,0.000424
4800,0.000345
4900,0.000350
5000,0.000358
5100,0.000362
5200,0.000375
5300,0.000374
5400,0.000380
5500,0.000388
5600,0.000419
5700,0.000385
5800,0.000391
5900,0.000398
6000,0.000404
6100,0.000410
6200,0.000416
6300,0.000422
6400,0.000429
6500,0.000444
6600,0.000424
6700,0.000434
6800,0.000437
6900,0.000465
7000,0.000456
7100,0.000476
7200,0.000461
7300,0.000467
7400,0.000507
7500,0.000529
7600,0.000470
7700,0.000474
7800,0.000480
7900,0.000495
8000,0.000512
8100,0.000496
8200,0.000515
8300,0.000489
8400,0.000585
8500,0.000576
8600,0.000529
8700,0.000520
8800,0.000520
8900,0.000539
9000,0.000522
9100,0.000528
9200,0.000525
9300,0.000529
9400,0.000535
9500,0.000541
9600,0.000560
9700,0.000533
9800,0.000538
9900,0.000543
10000,0.000549
10100,0.000554
10200,0.000559
10300,0.000581
10400,0.000573
10500,0.000574
10600,0.000578
10700,0.000592
10800,0.000584
10900,0.000674
11000,0.000644
11100,0.000603
11200,0.000631
11300,0.000616
11400,0.000622
11500,0.000627
11600,0.000641
11700,0.000626
11800,0.000613
11900,0.000648
12000,0.000623
12100,0.000660
12200,0.000679
12300,0.000855
12400,0.000920
12500,0.000816
12600,0.000691
12700,0.000697
12800,0.000667
12900,0.000671
13000,0.000676
13100,0.000681
13200,0.000686
13300,0.000708
13400,0.000696
13500,0.000701
13600,0.000706
13700,0.000744
13800,0.000801
13900,0.000836
14000,0.000781
14100,0.000733
14200,0.000766
14300,0.000777
14400,0.000747
14500,0.000752
14600,0.000757
14700,0.000762
14800,0.000799
14900,0.000772
15000,0.000777
15100,0.000781
15200,0.000787
15300,0.000839
15400,0.000843
15500,0.000847
15600,0.000847
15700,0.000851
15800,0.000877
15900,0.000820
16000,0.000871
16100,0.000942
16200,0.001200
16300,0.001056
16400,0.000944
16500,0.000902
16600,0.000914
16700,0.000905
16800,0.000911
16900,0.000889
17000,0.000915
17100,0.000882
17200,0.000941
17300,0.000891
17400,0.000896
17500,0.000950
17600,0.001076
17700,0.000926
17800,0.000914
17900,0.000928
18000,0.000925
18100,0.000928
18200,0.000933
18300,0.000979
18400,0.000944
18500,0.000949
18600,0.000953
18700,0.001017
18800,0.001053
18900,0.001025
19000,0.001027
19100,0.001044
19200,0.001041
19300,0.001231
19400,0.001451
19500,0.001109
19600,0.001110
19700,0.001089
19800,0.001081
19900,0.001086
20000,0.001066
20100,0.001068
20200,0.001044
20300,0.001049
20400,0.001112
20500,0.001098
20600,0.001094
20700,0.001066
20800,0.001095
20900,0.001076
21000,0.001081
21100,0.001092
21200,0.001114
21300,0.001096
21400,0.001101
21500,0.001161
21600,0.001112
21700,0.001116
21800,0.001131
21900,0.001497
22000,0.001278
22100,0.001201
22200,0.001246
22300,0.001211
22400,0.001226
22500,0.001201
22600,0.001157
22700,0.001192
22800,0.001197
22900,0.001180
23000,0.001178
23100,0.001183
23200,0.001325
23300,0.001264
23400,0.001262
23500,0.001280
23600,0.001204
23700,0.001209
23800,0.001239
23900,0.001220
24000,0.001225
24100,0.001290
24200,0.001234
24300,0.001257
24400,0.001366
24500,0.001734
24600,0.001360
24700,0.001357
24800,0.001403
24900,0.001321
25000,0.001298
25100,0.001311
25200,0.001286
25300,0.001311
25400,0.001297
25500,0.001302
25600,0.001333
25700,0.001360
25800,0.001313
25900,0.001333
26000,0.001324
26100,0.001326
26200,0.001342
26300,0.001339
26400,0.001402
26500,0.001349
26600,0.001443
26700,0.001457
26800,0.001464
26900,0.001450
27000,0.001409
27100,0.001415
27200,0.001539
27300,0.001416
27400,0.001397
27500,0.001432
27600,0.001406
27700,0.001411
27800,0.001455
27900,0.001471
28000,0.001473
28100,0.001454
28200,0.001442
28300,0.001439
28400,0.001464
28500,0.001448
28600,0.001548
28700,0.001720
28800,0.001927
28900,0.001559
29000,0.001565
29100,0.001516
29200,0.001486
29300,0.001730
29400,0.001596
29500,0.001591
29600,0.001538
29700,0.001521
29800,0.001528
29900,0.001589
30000,0.001527
30100,0.001642
30200,0.001532
30300,0.001538
30400,0.001551
30500,0.001587
30600,0.001878
30700,0.001925
30800,0.001607
30900,0.001571
31000,0.001575
31100,0.001593
31200,0.001628
31300,0.001699
31400,0.001744
31500,0.001636
31600,0.001606
31700,0.001641
31800,0.001650
31900,0.001636
32000,0.001672
32100,0.001685
32200,0.001660
32300,0.001683
32400,0.002028
32500,0.002041
32600,0.001779
32700,0.001782
32800,0.001674
32900,0.001711
33000,0.001781
33100,0.001720
33200,0.001763
33300,0.001916
33400,0.002291
33500,0.001729
33600,0.001740
33700,0.001707
33800,0.001727
33900,0.001720
34000,0.001800
34100,0.002192
34200,0.002190
34300,0.001857
34400,0.001858
