input,time
0,0.000031
100,0.000035
200,0.000035
300,0.000035
400,0.000035
500,0.000035
600,0.000036
700,0.000036
800,0.000037
900,0.000037
1000,0.000038
1100,0.000038
1200,0.000039
1300,0.000039
1400,0.000039
1500,0.000040
1600,0.000040
1700,0.000040
1800,0.000041
1900,0.000041
2000,0.000041
2100,0.000042
2200,0.000042
2300,0.000042
2400,0.000043
2500,0.000044
2600,0.000048
2700,0.000043
2800,0.000031
2900,0.000031
3000,0.000031
3100,0.000031
3200,0.000024
3300,0.000023
3400,0.000024
3500,0.000024
3600,0.000025
3700,0.000031
3800,0.000029
3900,0.000030
4000,0.000028
4100,0.000031
4200,0.000030
4300,0.000025
4400,0.000034
4500,0.000034
4600,0.000036
4700,0.000033
4800,0.000034
4900,0.000033
5000,0.000030
5100,0.000034
5200,0.000035
5300,0.000035
5400,0.000035
5500,0.000035
5600,0.000035
5700,0.000035
5800,0.000035
5900,0.000034
6000,0.000035
6100,0.000035
6200,0.000035
6300,0.000036
6400,0.000036
6500,0.000036
6600,0.000036
6700,0.000036
6800,0.000037
6900,0.000037
7000,0.000037
7100,0.000037
7200,0.000037
7300,0.000037
7400,0.000037
7500,0.000038
7600,0.000038
7700,0.000037
7800,0.000038
7900,0.000038
8000,0.000051
8100,0.000040
8200,0.000039
8300,0.000041
8400,0.000031
8500,0.000031
8600,0.000031
8700,0.000032
8800,0.000031
8900,0.000032
9000,0.000037
9100,0.000032
9200,0.000032
9300,0.000032
9400,0.000033
9500,0.000032
9600,0.000033
9700,0.000033
9800,0.000033
9900,0.000034
10000,0.000033
10100,0.000033
10200,0.000034
10300,0.000034
10400,0.000034
10500,0.000035
10600,0.000035
10700,0.000035
10800,0.000035
10900,0.000047
11000,0.000051
11100,0.000051
11200,0.000051
11300,0.000051
11400,0.000052
11500,0.000052
11600,0.000052
11700,0.000051
11800,0.000054
11900,0.000051
12000,0.000054
12100,0.000050
12200,0.000052
12300,0.000051
12400,0.000053
12500,0.000052
12600,0.000048
12700,0.000051
12800,0.000052
12900,0.000050
13000,0.000054
13100,0.000050
13200,0.000052
13300,0.000053
13400,0.000053
13500,0.000055
13600,0.000057
13700,0.000054
13800,0.000056
13900,0.000058
14000,0.000059
14100,0.000056
14200,0.000056
14300,0.000055
14400,0.000055
14500,0.000057
14600,0.000057
14700,0.000055
14800,0.000058
14900,0.000070
15000,0.000053
15100,0.000053
15200,0.000053
15300,0.000052
15400,0.000055
15500,0.000053
15600,0.000052
15700,0.000053
15800,0.000054
15900,0.000053
16000,0.000055
16100,0.000055
16200,0.000046
16300,0.000047
16400,0.000046
16500,0.000046
16600,0.000046
16700,0.000048
16800,0.000058
16900,0.000047
17000,0.000047
17100,0.000048
17200,0.000046
17300,0.000048
17400,0.000048
17500,0.000049
17600,0.000049
17700,0.000049
17800,0.000048
17900,0.000048
18000,0.000049
18100,0.000049
18200,0.000049
18300,0.000049
18400,0.000050
18500,0.000050
18600,0.000050
18700,0.000055
18800,0.000051
18900,0.000051
19000,0.000051
19100,0.000051
19200,0.000051
19300,0.000051
19400,0.000052
19500,0.000051
19600,0.000052
19700,0.000053
19800,0.000062
19900,0.000053
20000,0.000054
20100,0.000053
20200,0.000054
20300,0.000054
20400,0.000053
20500,0.000054
20600,0.000061
20700,0.000053
20800,0.000061
20900,0.000070
21000,0.000071
21100,0.000067
21200,0.000055
21300,0.000055
21400,0.000056
21500,0.000056
21600,0.000055
21700,0.000056
21800,0.000056
21900,0.000056
22000,0.000056
22100,0.000057
22200,0.000056
22300,0.000057
22400,0.000058
22500,0.000057
22600,0.000057
22700,0.000058
22800,0.000059
22900,0.000058
23000,0.000059
23100,0.000058
23200,0.000058
23300,0.000058
23400,0.000063
23500,0.000060
23600,0.000060
23700,0.000060
23800,0.000059
23900,0.000059
24000,0.000060
24100,0.000060
24200,0.000061
24300,0.000061
24400,0.000060
24500,0.000060
24600,0.000081
24700,0.000071
24800,0.000080
24900,0.000083
25000,0.000061
25100,0.000061
25200,0.000061
25300,0.000063
25400,0.000061
25500,0.000065
25600,0.000063
25700,0.000063
25800,0.000063
25900,0.000063
26000,0.000064
26100,0.000063
26200,0.000076
26300,0.000063
26400,0.000065
26500,0.000064
26600,0.000064
26700,0.000065
26800,0.000065
26900,0.000065
27000,0.000065
27100,0.000065
27200,0.000066
27300,0.000065
27400,0.000081
27500,0.000067
27600,0.000067
27700,0.000066
27800,0.000067
27900,0.000074
28000,0.000067
28100,0.000067
28200,0.000067
28300,0.000067
28400,0.000067
28500,0.000081
28600,0.000083
28700,0.000088
28800,0.000092
28900,0.000069
29000,0.000069
29100,0.000069
29200,0.000069
29300,0.000069
29400,0.000070
29500,0.000069
29600,0.000091
29700,0.000070
29800,0.000069
29900,0.000080
30000,0.000071
30100,0.000070
30200,0.000071
30300,0.000070
30400,0.000071
30500,0.000072
30600,0.000071
30700,0.000071
30800,0.000092
30900,0.000072
31000,0.000074
31100,0.000074
31200,0.000072
31300,0.000073
31400,0.000073
31500,0.000073
31600,0.000074
31700,0.000074
31800,0.000084
31900,0.000073
32000,0.000074
32100,0.000074
32200,0.000075
32300,0.000075
32400,0.000075
32500,0.000080
32600,0.000076
32700,0.000076
32800,0.000076
32900,0.000075
33000,0.000076
33100,0.000076
33200,0.000077
33300,0.000076
33400,0.000077
33500,0.000086
33600,0.000083
33700,0.000077
33800,0.000078
33900,0.000077
34000,0.000078
34100,0.000078
34200,0.000079
34300,0.000078
34400,0.000078
34500,0.000078
34600,0.000079
34700,0.000081
34800,0.000091
34900,0.000090
35000,0.000079
35100,0.000091
35200,0.000081
35300,0.000079
35400,0.000080
35500,0.000081
35600,0.000081
35700,0.000081
35800,0.000081
35900,0.000082
36000,0.000081
36100,0.000082
36200,0.000081
36300,0.000083
36400,0.000097
36500,0.000086
36600,0.000104
36700,0.000104
36800,0.000082
36900,0.000081
37000,0.000082
37100,0.000083
37200,0.000082
37300,0.000082
37400,0.000081
37500,0.000082
37600,0.000083
37700,0.000083
37800,0.000082
37900,0.000083
38000,0.000083
38100,0.000084
38200,0.000084
38300,0.000084
38400,0.000084
38500,0.000085
38600,0.000085
38700,0.000084
38800,0.000085
38900,0.000085
39000,0.000086
39100,0.000085
39200,0.000096
39300,0.000086
39400,0.000087
39500,0.000086
39600,0.000086
39700,0.000087
39800,0.000087
39900,0.000087
40000,0.000087
40100,0.000087
40200,0.000088
40300,0.000092
40400,0.000101
40500,0.000088
40600,0.000088
40700,0.000089
40800,0.000088
40900,0.000089
41000,0.000089
41100,0.000089
41200,0.000089
41300,0.000090
41400,0.000090
41500,0.000090
41600,0.000090
41700,0.000090
41800,0.000091
41900,0.000091
42000,0.000091
42100,0.000091
42200,0.000092
42300,0.000091
42400,0.000092
42500,0.000092
42600,0.000101
42700,0.000114
42800,0.000123
42900,0.000093
43000,0.000093
43100,0.000102
43200,0.000093
43300,0.000093
43400,0.000094
43500,0.000093
43600,0.000094
43700,0.000094
43800,0.000095
43900,0.000094
44000,0.000094
44100,0.000095
44200,0.000094
44300,0.000095
44400,0.000095
44500,0.000095
44600,0.000095
44700,0.000096
44800,0.000115
44900,0.000124
45000,0.000129
45100,0.000131
45200,0.000126
45300,0.000124
45400,0.000126
45500,0.000122
45600,0.000115
45700,0.000119
45800,0.000099
45900,0.000098
46000,0.000098
46100,0.000099
46200,0.000099
46300,0.000098
46400,0.000099
46500,0.000113
46600,0.000120
46700,0.000116
46800,0.000117
46900,0.000117
47000,0.000117
47100,0.000118
47200,0.000118
47300,0.000112
47400,0.000113
47500,0.000115
47600,0.000115
47700,0.000112
47800,0.000110
47900,0.000110
48000,0.000110
48100,0.000110
48200,0.000117
48300,0.000119
48400,0.000118
48500,0.000117
48600,0.000134
48700,0.000114
48800,0.000115
48900,0.000116
49000,0.000112
49100,0.000115
49200,0.000112
49300,0.000113
49400,0.000112
49500,0.000123
49600,0.000113
49700,0.000133
49800,0.000115
49900,0.000118
50000,0.000119
50100,0.000118
50200,0.000117
50300,0.000117
50400,0.000115
50500,0.000115
50600,0.000115
50700,0.000115
50800,0.000115
50900,0.000118
51000,0.000118
51100,0.000119
51200,0.000119
51300,0.000116
51400,0.000116
51500,0.000117
51600,0.000117
51700,0.000117
51800,0.000120
51900,0.000120
52000,0.000118
52100,0.000119
52200,0.000118
52300,0.000119
52400,0.000118
52500,0.000136
52600,0.000122
52700,0.000122
52800,0.000123
52900,0.000122
53000,0.000123
53100,0.000122
53200,0.000124
53300,0.000120
53400,0.000123
53500,0.000124
53600,0.000120
53700,0.000120
53800,0.000121
53900,0.000121
54000,0.000121
54100,0.000125
54200,0.000125
54300,0.000125
54400,0.000122
54500,0.000122
54600,0.000122
54700,0.000123
54800,0.000122
54900,0.000123
55000,0.000123
55100,0.000123
55200,0.000123
55300,0.000135
55400,0.000148
55500,0.000139
55600,0.000128
55700,0.000129
55800,0.000128
55900,0.000128
56000,0.000129
56100,0.000128
56200,0.000128
56300,0.000126
56400,0.000125
56500,0.000129
56600,0.000126
56700,0.000126
56800,0.000126
56900,0.000126
57000,0.000158
57100,0.000130
57200,0.000129
57300,0.000127
57400,0.000128
57500,0.000131
57600,0.000131
57700,0.000131
57800,0.000161
57900,0.000175
58000,0.000180
58100,0.000169
58200,0.000168
58300,0.000169
58400,0.000168
58500,0.000168
58600,0.000169
58700,0.000178
58800,0.000169
58900,0.000169
59000,0.000162
59100,0.000151
59200,0.000158
59300,0.000155
59400,0.000164
