input,time
0,0.000028
100,0.000025
200,0.000024
300,0.000025
400,0.000032
500,0.000032
600,0.000028
700,0.000036
800,0.000035
900,0.000036
1000,0.000036
1100,0.000036
1200,0.000036
1300,0.000035
1400,0.000035
1500,0.000035
1600,0.000035
1700,0.000036
1800,0.000035
1900,0.000036
2000,0.000035
2100,0.000036
2200,0.000036
2300,0.000035
2400,0.000035
2500,0.000035
2600,0.000034
2700,0.000035
2800,0.000036
2900,0.000036
3000,0.000035
3100,0.000036
3200,0.000035
3300,0.000035
3400,0.000034
3500,0.000035
3600,0.000035
3700,0.000036
3800,0.000036
3900,0.000036
4000,0.000036
4100,0.000036
4200,0.000035
4300,0.000036
4400,0.000036
4500,0.000035
4600,0.000035
4700,0.000034
4800,0.000035
4900,0.000035
5000,0.000035
5100,0.000036
5200,0.000036
5300,0.000035
5400,0.000036
5500,0.000035
5600,0.000036
5700,0.000036
5800,0.000035
5900,0.000035
6000,0.000036
6100,0.000036
6200,0.000035
6300,0.000035
6400,0.000036
6500,0.000036
6600,0.000035
6700,0.000035
6800,0.000036
6900,0.000036
7000,0.000036
7100,0.000035
7200,0.000035
7300,0.000035
7400,0.000035
7500,0.000035
7600,0.000036
7700,0.000035
7800,0.000036
7900,0.000035
8000,0.000035
8100,0.000036
8200,0.000035
8300,0.000035
8400,0.000036
8500,0.000035
8600,0.000035
8700,0.000035
8800,0.000035
8900,0.000035
9000,0.000034
9100,0.000036
9200,0.000035
9300,0.000035
9400,0.000032
9500,0.000035
9600,0.000034
9700,0.000034
9800,0.000034
9900,0.000034
10000,0.000034
10100,0.000034
10200,0.000034
10300,0.000034
10400,0.000033
10500,0.000036
10600,0.000036
10700,0.000036
10800,0.000036
10900,0.000036
11000,0.000035
11100,0.000035
11200,0.000035
11300,0.000036
11400,0.000033
11500,0.000032
11600,0.000033
11700,0.000033
11800,0.000033
11900,0.000034
12000,0.000061
12100,0.000034
12200,0.000032
12300,0.000031
12400,0.000033
12500,0.000032
12600,0.000035
12700,0.000035
12800,0.000034
12900,0.000031
13000,0.000034
13100,0.000033
13200,0.000033
13300,0.000032
13400,0.000032
13500,0.000033
13600,0.000033
13700,0.000032
13800,0.000032
13900,0.000031
14000,0.000030
14100,0.000030
14200,0.000031
14300,0.000032
14400,0.000035
14500,0.000034
14600,0.000035
14700,0.000034
14800,0.000034
14900,0.000035
15000,0.000034
15100,0.000035
15200,0.000026
15300,0.000030
15400,0.000032
15500,0.000033
15600,0.000032
15700,0.000032
15800,0.000032
15900,0.000030
16000,0.000026
16100,0.000028
16200,0.000027
16300,0.000030
16400,0.000030
16500,0.000026
16600,0.000025
16700,0.000025
16800,0.000025
16900,0.000025
17000,0.000025
17100,0.000025
17200,0.000023
17300,0.000025
17400,0.000025
17500,0.000025
17600,0.000024
17700,0.000024
17800,0.000025
17900,0.000025
18000,0.000026
18100,0.000025
18200,0.000026
18300,0.000026
18400,0.000026
