input,time
0,0.000028
100,0.000024
200,0.000029
300,0.000028
400,0.000025
500,0.000026
600,0.000027
700,0.000029
800,0.000031
900,0.000031
1000,0.000032
1100,0.000033
1200,0.000032
1300,0.000034
1400,0.000034
1500,0.000034
1600,0.000035
1700,0.000036
1800,0.000036
1900,0.000037
2000,0.000037
2100,0.000038
2200,0.000038
2300,0.000040
2400,0.000039
2500,0.000040
2600,0.000042
2700,0.000041
2800,0.000042
2900,0.000043
3000,0.000043
3100,0.000045
3200,0.000044
3300,0.000048
3400,0.000045
3500,0.000045
3600,0.000045
3700,0.000046
3800,0.000047
3900,0.000048
4000,0.000056
4100,0.000050
4200,0.000050
4300,0.000050
4400,0.000050
4500,0.000050
4600,0.000052
4700,0.000078
4800,0.000052
4900,0.000051
5000,0.000050
5100,0.000054
5200,0.000051
5300,0.000051
5400,0.000052
5500,0.000053
5600,0.000052
5700,0.000053
5800,0.000054
5900,0.000054
6000,0.000055
6100,0.000056
6200,0.000057
6300,0.000059
6400,0.000060
6500,0.000061
6600,0.000061
6700,0.000062
6800,0.000062
6900,0.000063
7000,0.000063
7100,0.000064
7200,0.000065
7300,0.000066
7400,0.000065
7500,0.000066
7600,0.000066
7700,0.000075
7800,0.000068
7900,0.000067
8000,0.000068
8100,0.000074
8200,0.000086
8300,0.000087
8400,0.000090
8500,0.000071
8600,0.000090
8700,0.000093
8800,0.000081
8900,0.000090
9000,0.000088
9100,0.000086
9200,0.000090
9300,0.000091
9400,0.000100
9500,0.000071
9600,0.000072
9700,0.000072
9800,0.000073
9900,0.000073
10000,0.000075
10100,0.000078
10200,0.000079
10300,0.000079
10400,0.000079
10500,0.000079
10600,0.000080
10700,0.000080
10800,0.000081
10900,0.000082
11000,0.000082
11100,0.000083
11200,0.000084
11300,0.000084
11400,0.000084
11500,0.000085
11600,0.000087
11700,0.000087
11800,0.000087
11900,0.000089
12000,0.000089
12100,0.000090
12200,0.000090
12300,0.000090
12400,0.000090
12500,0.000091
12600,0.000092
12700,0.000093
12800,0.000093
12900,0.000094
13000,0.000094
13100,0.000095
13200,0.000094
13300,0.000096
13400,0.000115
13500,0.000096
13600,0.000090
13700,0.000092
13800,0.000093
13900,0.000093
14000,0.000095
14100,0.000095
14200,0.000097
14300,0.000096
14400,0.000096
14500,0.000096
14600,0.000097
14700,0.000099
14800,0.000099
14900,0.000098
15000,0.000100
15100,0.000100
15200,0.000101
15300,0.000100
15400,0.000102
15500,0.000102
15600,0.000103
15700,0.000104
15800,0.000103
15900,0.000105
16000,0.000105
16100,0.000106
16200,0.000107
16300,0.000107
16400,0.000109
16500,0.000110
16600,0.000108
16700,0.000111
16800,0.000110
16900,0.000127
17000,0.000106
17100,0.000107
17200,0.000109
17300,0.000109
17400,0.000108
17500,0.000109
17600,0.000109
17700,0.000109
17800,0.000111
17900,0.000110
18000,0.000110
18100,0.000112
18200,0.000112
18300,0.000114
18400,0.000113
18500,0.000114
18600,0.000116
18700,0.000114
18800,0.000115
