input,time
0,0.000044
100,0.000033
200,0.000033
300,0.000033
400,0.000033
500,0.000033
600,0.000034
700,0.000034
800,0.000034
900,0.000035
1000,0.000034
1100,0.000035
1200,0.000036
1300,0.000036
1400,0.000037
1500,0.000037
1600,0.000030
1700,0.000029
1800,0.000029
1900,0.000032
2000,0.000033
2100,0.000034
2200,0.000035
2300,0.000032
2400,0.000028
2500,0.000032
2600,0.000029
2700,0.000030
2800,0.000029
2900,0.000030
3000,0.000030
3100,0.000030
3200,0.000030
3300,0.000031
3400,0.000031
3500,0.000030
3600,0.000032
3700,0.000032
3800,0.000033
3900,0.000033
4000,0.000034
4100,0.000039
4200,0.000038
4300,0.000040
4400,0.000041
4500,0.000035
4600,0.000032
4700,0.000032
4800,0.000032
4900,0.000035
5000,0.000033
5100,0.000036
5200,0.000035
5300,0.000037
5400,0.000036
5500,0.000036
5600,0.000036
5700,0.000035
5800,0.000036
5900,0.000036
6000,0.000036
6100,0.000036
6200,0.000037
6300,0.000036
6400,0.000036
6500,0.000037
6600,0.000038
6700,0.000038
6800,0.000038
6900,0.000039
7000,0.000038
7100,0.000039
7200,0.000040
7300,0.000039
7400,0.000041
7500,0.000040
7600,0.000041
7700,0.000042
7800,0.000041
7900,0.000042
8000,0.000042
8100,0.000042
8200,0.000042
8300,0.000052
8400,0.000045
8500,0.000043
8600,0.000044
8700,0.000043
8800,0.000045
8900,0.000045
9000,0.000042
9100,0.000044
9200,0.000045
9300,0.000044
9400,0.000044
9500,0.000047
9600,0.000044
9700,0.000044
9800,0.000045
9900,0.000045
10000,0.000045
10100,0.000045
10200,0.000045
10300,0.000046
10400,0.000048
10500,0.000047
10600,0.000047
10700,0.000047
10800,0.000047
10900,0.000048
11000,0.000047
11100,0.000048
11200,0.000053
11300,0.000050
11400,0.000049
11500,0.000050
11600,0.000050
11700,0.000051
11800,0.000051
11900,0.000051
12000,0.000052
12100,0.000052
12200,0.000053
12300,0.000052
12400,0.000051
12500,0.000052
12600,0.000052
12700,0.000052
12800,0.000051
12900,0.000058
13000,0.000053
13100,0.000053
13200,0.000054
13300,0.000055
13400,0.000055
13500,0.000061
13600,0.000103
13700,0.000067
13800,0.000067
13900,0.000068
14000,0.000054
14100,0.000061
14200,0.000058
14300,0.000073
14400,0.000055
14500,0.000054
