input,time
0,0.000028
100,0.000025
200,0.000018
300,0.000034
400,0.000027
500,0.000027
600,0.000024
700,0.000021
800,0.000029
900,0.000029
1000,0.000034
1100,0.000035
1200,0.000035
1300,0.000037
1400,0.000037
1500,0.000037
1600,0.000037
1700,0.000037
1800,0.000037
1900,0.000037
2000,0.000037
2100,0.000038
2200,0.000056
2300,0.000049
2400,0.000037
2500,0.000037
2600,0.000037
2700,0.000037
2800,0.000038
2900,0.000038
3000,0.000037
3100,0.000038
3200,0.000038
3300,0.000039
3400,0.000038
3500,0.000039
3600,0.000038
3700,0.000038
3800,0.000040
3900,0.000039
4000,0.000039
4100,0.000040
4200,0.000039
4300,0.000039
4400,0.000039
4500,0.000040
4600,0.000040
4700,0.000041
4800,0.000040
4900,0.000041
5000,0.000039
5100,0.000041
5200,0.000042
5300,0.000042
5400,0.000042
5500,0.000042
5600,0.000041
5700,0.000042
5800,0.000042
5900,0.000043
6000,0.000043
6100,0.000042
6200,0.000043
6300,0.000043
6400,0.000043
6500,0.000043
6600,0.000043
6700,0.000043
6800,0.000043
6900,0.000044
7000,0.000044
7100,0.000044
7200,0.000045
7300,0.000044
7400,0.000045
7500,0.000045
7600,0.000046
7700,0.000045
7800,0.000046
7900,0.000045
8000,0.000046
8100,0.000046
8200,0.000046
8300,0.000046
8400,0.000047
8500,0.000046
8600,0.000046
8700,0.000047
8800,0.000047
8900,0.000058
9000,0.000047
9100,0.000044
9200,0.000047
9300,0.000046
9400,0.000046
9500,0.000046
9600,0.000047
9700,0.000050
9800,0.000052
9900,0.000053
10000,0.000053
10100,0.000053
10200,0.000053
10300,0.000054
10400,0.000053
10500,0.000054
10600,0.000054
10700,0.000055
10800,0.000051
10900,0.000055
11000,0.000053
11100,0.000055
11200,0.000054
11300,0.000055
11400,0.000053
11500,0.000052
11600,0.000050
11700,0.000050
11800,0.000050
11900,0.000050
12000,0.000050
12100,0.000050
12200,0.000051
12300,0.000052
12400,0.000051
12500,0.000034
12600,0.000034
12700,0.000034
12800,0.000051
12900,0.000045
13000,0.000033
13100,0.000047
13200,0.000044
13300,0.000045
13400,0.000045
13500,0.000047
13600,0.000045
13700,0.000045
13800,0.000046
13900,0.000044
14000,0.000056
14100,0.000047
14200,0.000046
14300,0.000047
14400,0.000047
14500,0.000047
14600,0.000047
14700,0.000047
14800,0.000047
14900,0.000068
15000,0.000045
15100,0.000047
15200,0.000046
15300,0.000046
15400,0.000046
15500,0.000046
15600,0.000046
15700,0.000046
15800,0.000047
15900,0.000049
16000,0.000047
16100,0.000047
16200,0.000049
16300,0.000048
16400,0.000047
16500,0.000048
16600,0.000058
16700,0.000050
16800,0.000047
16900,0.000045
17000,0.000060
17100,0.000060
17200,0.000046
17300,0.000046
17400,0.000046
17500,0.000046
17600,0.000046
17700,0.000046
17800,0.000048
17900,0.000047
18000,0.000047
18100,0.000047
18200,0.000047
18300,0.000048
18400,0.000047
