input,time
0,0.000039
100,0.000035
200,0.000034
300,0.000035
400,0.000036
500,0.000035
600,0.000040
700,0.000042
800,0.000043
900,0.000043
1000,0.000043
1100,0.000044
1200,0.000044
1300,0.000045
1400,0.000045
1500,0.000045
1600,0.000053
1700,0.000047
1800,0.000048
1900,0.000068
2000,0.000047
2100,0.000049
2200,0.000049
2300,0.000053
2400,0.000056
2500,0.000056
2600,0.000052
2700,0.000056
2800,0.000059
2900,0.000054
3000,0.000057
3100,0.000058
3200,0.000060
3300,0.000062
3400,0.000062
3500,0.000061
3600,0.000061
3700,0.000063
3800,0.000065
3900,0.000063
4000,0.000065
4100,0.000062
4200,0.000064
4300,0.000066
4400,0.000065
4500,0.000068
4600,0.000067
4700,0.000070
4800,0.000073
4900,0.000070
5000,0.000073
5100,0.000072
5200,0.000076
5300,0.000073
5400,0.000075
5500,0.000077
5600,0.000075
5700,0.000076
5800,0.000079
5900,0.000079
6000,0.000080
6100,0.000081
6200,0.000082
6300,0.000101
6400,0.000080
6500,0.000076
6600,0.000074
6700,0.000081
6800,0.000082
6900,0.000083
7000,0.000082
7100,0.000081
7200,0.000106
7300,0.000105
7400,0.000111
7500,0.000117
7600,0.000104
7700,0.000111
7800,0.000094
7900,0.000105
8000,0.000095
8100,0.000113
8200,0.000112
8300,0.000107
8400,0.000112
8500,0.000120
8600,0.000098
8700,0.000102
8800,0.000086
8900,0.000085
9000,0.000092
9100,0.000087
9200,0.000092
9300,0.000088
9400,0.000119
9500,0.000089
9600,0.000090
9700,0.000093
9800,0.000102
9900,0.000093
10000,0.000093
10100,0.000090
10200,0.000090
10300,0.000094
10400,0.000092
10500,0.000105
10600,0.000095
10700,0.000105
10800,0.000094
10900,0.000098
11000,0.000098
11100,0.000095
11200,0.000097
11300,0.000098
11400,0.000099
11500,0.000100
11600,0.000099
11700,0.000101
11800,0.000104
11900,0.000102
12000,0.000105
12100,0.000102
12200,0.000103
12300,0.000106
12400,0.000106
12500,0.000105
12600,0.000138
12700,0.000102
12800,0.000108
12900,0.000109
13000,0.000108
13100,0.000105
13200,0.000108
13300,0.000107
13400,0.000114
13500,0.000112
13600,0.000109
13700,0.000113
13800,0.000110
13900,0.000114
14000,0.000110
14100,0.000113
14200,0.000113
14300,0.000113
14400,0.000123
14500,0.000115
14600,0.000116
14700,0.000114
14800,0.000120
14900,0.000122
15000,0.000121
15100,0.000119
15200,0.000121
15300,0.000117
15400,0.000145
15500,0.000116
15600,0.000119
15700,0.000117
15800,0.000124
15900,0.000118
16000,0.000132
16100,0.000121
16200,0.000122
16300,0.000122
16400,0.000122
16500,0.000122
16600,0.000124
16700,0.000127
16800,0.000126
16900,0.000126
17000,0.000126
17100,0.000133
17200,0.000128
17300,0.000130
17400,0.000127
17500,0.000132
17600,0.000128
17700,0.000131
17800,0.000131
17900,0.000135
18000,0.000159
18100,0.000128
18200,0.000129
18300,0.000138
18400,0.000130
18500,0.000133
18600,0.000132
18700,0.000137
18800,0.000134
18900,0.000130
19000,0.000148
19100,0.000177
19200,0.000198
19300,0.000191
19400,0.000170
19500,0.000189
19600,0.000190
19700,0.000183
19800,0.000171
19900,0.000184
20000,0.000140
20100,0.000168
20200,0.000137
20300,0.000136
20400,0.000137
20500,0.000144
20600,0.000136
20700,0.000137
20800,0.000139
20900,0.000138
21000,0.000139
21100,0.000142
21200,0.000144
21300,0.000142
21400,0.000143
21500,0.000142
21600,0.000144
21700,0.000146
21800,0.000143
21900,0.000147
22000,0.000145
22100,0.000149
22200,0.000144
22300,0.000145
22400,0.000166
22500,0.000143
22600,0.000143
22700,0.000142
22800,0.000146
22900,0.000149
23000,0.000145
23100,0.000144
23200,0.000148
23300,0.000149
23400,0.000146
23500,0.000148
23600,0.000149
23700,0.000153
23800,0.000149
23900,0.000148
24000,0.000152
24100,0.000153
24200,0.000153
24300,0.000152
24400,0.000151
24500,0.000157
24600,0.000174
24700,0.000151
24800,0.000149
24900,0.000149
25000,0.000152
25100,0.000152
25200,0.000154
25300,0.000153
25400,0.000161
25500,0.000178
25600,0.000159
25700,0.000162
25800,0.000166
25900,0.000160
26000,0.000160
26100,0.000164
26200,0.000161
26300,0.000165
26400,0.000165
26500,0.000162
26600,0.000176
26700,0.000163
26800,0.000155
26900,0.000155
27000,0.000164
27100,0.000160
27200,0.000159
27300,0.000159
27400,0.000160
27500,0.000164
27600,0.000160
27700,0.000160
27800,0.000161
27900,0.000162
28000,0.000168
28100,0.000164
28200,0.000164
28300,0.000165
28400,0.000166
28500,0.000170
28600,0.000165
28700,0.000177
28800,0.000166
28900,0.000169
29000,0.000172
29100,0.000168
29200,0.000168
29300,0.000171
29400,0.000169
29500,0.000174
29600,0.000172
29700,0.000172
29800,0.000172
29900,0.000174
30000,0.000178
30100,0.000176
30200,0.000176
30300,0.000176
30400,0.000175
30500,0.000180
30600,0.000185
30700,0.000177
30800,0.000177
30900,0.000178
31000,0.000182
31100,0.000181
31200,0.000181
31300,0.000181
31400,0.000180
31500,0.000186
31600,0.000181
31700,0.000185
31800,0.000182
31900,0.000185
32000,0.000185
32100,0.000184
32200,0.000184
32300,0.000185
32400,0.000193
32500,0.000189
32600,0.000186
32700,0.000186
32800,0.000187
32900,0.000190
33000,0.000194
33100,0.000190
33200,0.000191
33300,0.000192
33400,0.000193
33500,0.000191
33600,0.000192
33700,0.000192
33800,0.000192
33900,0.000193
34000,0.000204
34100,0.000195
34200,0.000210
34300,0.000213
34400,0.000224
