input,time
0,0.000037
100,0.000033
200,0.000034
300,0.000037
400,0.000042
500,0.000035
600,0.000027
700,0.000028
800,0.000026
900,0.000028
1000,0.000028
1100,0.000034
1200,0.000036
1300,0.000046
1400,0.000036
1500,0.000038
1600,0.000042
1700,0.000037
1800,0.000032
1900,0.000028
2000,0.000029
2100,0.000028
2200,0.000031
2300,0.000032
2400,0.000032
2500,0.000030
2600,0.000030
2700,0.000033
2800,0.000036
2900,0.000033
3000,0.000033
3100,0.000033
3200,0.000034
3300,0.000035
3400,0.000032
3500,0.000036
3600,0.000035
3700,0.000038
3800,0.000036
3900,0.000033
4000,0.000035
4100,0.000035
4200,0.000036
4300,0.000036
4400,0.000036
4500,0.000036
4600,0.000036
4700,0.000038
4800,0.000038
4900,0.000037
5000,0.000040
5100,0.000042
5200,0.000041
5300,0.000038
5400,0.000039
5500,0.000041
5600,0.000039
5700,0.000040
5800,0.000041
5900,0.000059
6000,0.000043
6100,0.000043
6200,0.000045
6300,0.000046
6400,0.000042
6500,0.000041
6600,0.000044
6700,0.000045
6800,0.000042
6900,0.000045
7000,0.000044
7100,0.000046
7200,0.000046
7300,0.000046
7400,0.000046
7500,0.000049
7600,0.000046
7700,0.000046
7800,0.000052
7900,0.000050
8000,0.000047
8100,0.000048
8200,0.000049
8300,0.000051
8400,0.000050
8500,0.000049
8600,0.000048
8700,0.000065
8800,0.000052
8900,0.000063
9000,0.000074
9100,0.000071
9200,0.000070
9300,0.000085
9400,0.000081
9500,0.000072
9600,0.000064
9700,0.000062
9800,0.000051
9900,0.000053
10000,0.000051
10100,0.000057
10200,0.000049
10300,0.000053
10400,0.000051
10500,0.000052
10600,0.000056
10700,0.000055
10800,0.000051
10900,0.000053
11000,0.000067
11100,0.000099
11200,0.000077
11300,0.000069
11400,0.000085
11500,0.000065
11600,0.000062
11700,0.000067
11800,0.000069
11900,0.000065
12000,0.000071
12100,0.000064
12200,0.000069
12300,0.000066
12400,0.000064
12500,0.000066
12600,0.000072
12700,0.000069
12800,0.000065
12900,0.000070
13000,0.000067
13100,0.000072
13200,0.000065
13300,0.000069
13400,0.000070
13500,0.000068
13600,0.000074
13700,0.000071
13800,0.000073
13900,0.000068
14000,0.000068
14100,0.000073
14200,0.000069
14300,0.000067
14400,0.000070
14500,0.000072
14600,0.000074
14700,0.000072
14800,0.000071
14900,0.000076
15000,0.000072
15100,0.000076
15200,0.000075
15300,0.000076
15400,0.000074
15500,0.000082
15600,0.000073
15700,0.000076
15800,0.000075
15900,0.000079
16000,0.000074
16100,0.000078
16200,0.000075
16300,0.000078
16400,0.000081
16500,0.000075
16600,0.000075
16700,0.000076
16800,0.000082
16900,0.000076
17000,0.000080
17100,0.000079
17200,0.000085
17300,0.000078
17400,0.000076
17500,0.000080
17600,0.000080
17700,0.000084
17800,0.000079
17900,0.000081
18000,0.000084
18100,0.000080
18200,0.000081
18300,0.000081
18400,0.000089
18500,0.000108
18600,0.000079
18700,0.000080
18800,0.000081
18900,0.000080
19000,0.000079
19100,0.000080
19200,0.000079
19300,0.000080
19400,0.000078
19500,0.000085
19600,0.000078
19700,0.000083
19800,0.000081
