input,time
0,0.000044
100,0.000039
200,0.000039
300,0.000040
400,0.000049
500,0.000040
600,0.000041
700,0.000041
800,0.000041
900,0.000042
1000,0.000042
1100,0.000042
1200,0.000044
1300,0.000047
1400,0.000042
1500,0.000043
1600,0.000049
1700,0.000048
1800,0.000049
1900,0.000045
2000,0.000045
2100,0.000045
2200,0.000049
2300,0.000050
2400,0.000055
2500,0.000046
2600,0.000047
2700,0.000050
2800,0.000052
2900,0.000051
3000,0.000052
3100,0.000051
3200,0.000071
3300,0.000052
3400,0.000048
3500,0.000051
3600,0.000048
3700,0.000047
3800,0.000048
3900,0.000045
4000,0.000048
4100,0.000049
4200,0.000048
4300,0.000049
4400,0.000050
4500,0.000049
4600,0.000050
4700,0.000053
4800,0.000050
4900,0.000053
5000,0.000054
5100,0.000053
5200,0.000054
5300,0.000054
5400,0.000053
5500,0.000058
5600,0.000054
5700,0.000055
5800,0.000054
5900,0.000054
6000,0.000060
6100,0.000058
6200,0.000058
6300,0.000058
6400,0.000056
6500,0.000059
6600,0.000060
6700,0.000060
6800,0.000059
6900,0.000061
7000,0.000061
7100,0.000059
7200,0.000062
7300,0.000062
7400,0.000064
7500,0.000062
7600,0.000069
7700,0.000069
7800,0.000075
7900,0.000069
8000,0.000069
8100,0.000076
8200,0.000067
8300,0.000066
8400,0.000066
8500,0.000086
8600,0.000060
8700,0.000060
8800,0.000060
8900,0.000063
9000,0.000059
9100,0.000060
9200,0.000074
9300,0.000069
9400,0.000072
9500,0.000065
9600,0.000071
9700,0.000069
9800,0.000073
9900,0.000072
10000,0.000070
10100,0.000073
10200,0.000072
10300,0.000071
10400,0.000072
10500,0.000073
10600,0.000074
10700,0.000076
10800,0.000067
10900,0.000067
11000,0.000069
11100,0.000067
11200,0.000068
11300,0.000070
11400,0.000071
11500,0.000071
11600,0.000069
11700,0.000069
11800,0.000079
11900,0.000077
12000,0.000082
12100,0.000078
12200,0.000079
12300,0.000079
12400,0.000079
12500,0.000081
12600,0.000083
12700,0.000081
12800,0.000093
12900,0.000076
13000,0.000074
13100,0.000077
13200,0.000073
13300,0.000076
13400,0.000075
13500,0.000075
13600,0.000079
13700,0.000086
13800,0.000086
13900,0.000085
14000,0.000086
14100,0.000080
14200,0.000079
14300,0.000079
14400,0.000089
14500,0.000087
14600,0.000091
14700,0.000086
14800,0.000091
14900,0.000090
15000,0.000086
15100,0.000091
15200,0.000090
15300,0.000092
15400,0.000091
15500,0.000094
15600,0.000092
15700,0.000084
15800,0.000087
15900,0.000085
16000,0.000086
16100,0.000083
16200,0.000087
16300,0.000084
16400,0.000090
16500,0.000111
16600,0.000091
16700,0.000089
16800,0.000091
16900,0.000105
17000,0.000106
17100,0.000121
17200,0.000110
17300,0.000111
17400,0.000108
17500,0.000113
17600,0.000111
17700,0.000112
17800,0.000130
17900,0.000126
18000,0.000135
18100,0.000132
18200,0.000129
18300,0.000107
18400,0.000112
18500,0.000112
18600,0.000108
18700,0.000110
18800,0.000110
18900,0.000108
19000,0.000114
19100,0.000112
19200,0.000107
19300,0.000125
19400,0.000109
19500,0.000115
19600,0.000109
19700,0.000112
19800,0.000116
19900,0.000118
20000,0.000112
20100,0.000117
20200,0.000116
20300,0.000115
20400,0.000118
20500,0.000121
20600,0.000114
20700,0.000117
20800,0.000115
20900,0.000118
21000,0.000118
21100,0.000115
21200,0.000116
21300,0.000117
21400,0.000120
21500,0.000120
21600,0.000121
21700,0.000147
21800,0.000155
21900,0.000127
22000,0.000129
22100,0.000150
22200,0.000147
22300,0.000157
22400,0.000147
22500,0.000140
22600,0.000146
22700,0.000148
22800,0.000155
22900,0.000161
23000,0.000137
23100,0.000138
23200,0.000150
23300,0.000146
23400,0.000144
23500,0.000144
23600,0.000123
23700,0.000130
23800,0.000131
23900,0.000127
24000,0.000139
24100,0.000126
24200,0.000120
24300,0.000120
24400,0.000123
24500,0.000142
24600,0.000132
24700,0.000132
24800,0.000129
24900,0.000130
25000,0.000139
25100,0.000142
25200,0.000131
25300,0.000134
25400,0.000133
25500,0.000131
25600,0.000138
25700,0.000134
25800,0.000136
25900,0.000135
26000,0.000139
26100,0.000132
26200,0.000142
26300,0.000139
26400,0.000138
26500,0.000139
26600,0.000133
26700,0.000134
26800,0.000136
26900,0.000141
27000,0.000152
27100,0.000142
27200,0.000140
27300,0.000139
27400,0.000139
27500,0.000148
27600,0.000141
27700,0.000137
27800,0.000143
27900,0.000144
28000,0.000144
28100,0.000145
28200,0.000146
28300,0.000144
28400,0.000151
28500,0.000158
28600,0.000131
28700,0.000133
28800,0.000133
28900,0.000132
29000,0.000137
29100,0.000145
29200,0.000148
29300,0.000155
29400,0.000138
29500,0.000152
29600,0.000149
29700,0.000150
29800,0.000148
29900,0.000152
30000,0.000154
30100,0.000149
30200,0.000162
30300,0.000153
30400,0.000152
30500,0.000155
30600,0.000170
30700,0.000141
30800,0.000142
30900,0.000141
31000,0.000156
31100,0.000146
31200,0.000156
31300,0.000154
31400,0.000157
31500,0.000160
31600,0.000154
31700,0.000159
31800,0.000155
31900,0.000158
32000,0.000162
32100,0.000160
32200,0.000159
32300,0.000155
32400,0.000156
32500,0.000159
32600,0.000168
32700,0.000145
32800,0.000121
32900,0.000088
33000,0.000090
33100,0.000089
33200,0.000100
33300,0.000099
33400,0.000108
33500,0.000101
33600,0.000100
33700,0.000097
33800,0.000105
33900,0.000099
34000,0.000100
34100,0.000101
34200,0.000107
34300,0.000103
34400,0.000102
34500,0.000101
34600,0.000099
34700,0.000099
34800,0.000099
34900,0.000101
35000,0.000101
35100,0.000104
35200,0.000105
35300,0.000109
35400,0.000100
35500,0.000110
35600,0.000097
35700,0.000094
35800,0.000098
35900,0.000073
36000,0.000076
36100,0.000070
36200,0.000070
36300,0.000072
36400,0.000072
36500,0.000070
36600,0.000070
36700,0.000074
36800,0.000071
36900,0.000071
37000,0.000071
37100,0.000072
37200,0.000072
37300,0.000074
37400,0.000076
37500,0.000072
37600,0.000072
37700,0.000072
37800,0.000073
37900,0.000085
38000,0.000080
38100,0.000079
38200,0.000075
38300,0.000072
38400,0.000073
38500,0.000075
38600,0.000075
38700,0.000074
38800,0.000073
38900,0.000074
39000,0.000075
39100,0.000077
39200,0.000077
39300,0.000091
39400,0.000079
39500,0.000086
39600,0.000077
39700,0.000077
39800,0.000075
39900,0.000076
40000,0.000077
40100,0.000081
40200,0.000076
40300,0.000075
40400,0.000081
40500,0.000076
40600,0.000077
40700,0.000083
40800,0.000077
40900,0.000078
41000,0.000078
41100,0.000077
41200,0.000079
41300,0.000078
41400,0.000077
41500,0.000080
41600,0.000078
41700,0.000077
41800,0.000080
41900,0.000078
42000,0.000080
42100,0.000079
42200,0.000079
42300,0.000079
42400,0.000079
42500,0.000078
42600,0.000085
42700,0.000079
42800,0.000081
42900,0.000085
43000,0.000079
43100,0.000081
43200,0.000086
43300,0.000081
43400,0.000089
43500,0.000081
43600,0.000103
43700,0.000101
43800,0.000101
43900,0.000101
44000,0.000102
44100,0.000104
44200,0.000107
44300,0.000095
44400,0.000096
44500,0.000100
44600,0.000101
44700,0.000095
44800,0.000084
44900,0.000086
45000,0.000084
45100,0.000084
45200,0.000090
45300,0.000086
45400,0.000086
45500,0.000089
45600,0.000084
45700,0.000085
45800,0.000089
45900,0.000083
46000,0.000086
46100,0.000085
46200,0.000085
46300,0.000085
46400,0.000087
46500,0.000084
46600,0.000089
46700,0.000087
46800,0.000093
46900,0.000091
47000,0.000089
47100,0.000087
47200,0.000087
47300,0.000088
47400,0.000088
47500,0.000087
47600,0.000086
47700,0.000091
47800,0.000087
47900,0.000088
48000,0.000092
48100,0.000087
48200,0.000090
48300,0.000086
48400,0.000087
48500,0.000091
48600,0.000088
48700,0.000087
48800,0.000092
48900,0.000088
49000,0.000088
49100,0.000089
49200,0.000089
49300,0.000093
49400,0.000091
49500,0.000090
49600,0.000090
49700,0.000092
49800,0.000091
49900,0.000090
50000,0.000091
50100,0.000095
50200,0.000101
50300,0.000084
50400,0.000083
50500,0.000090
50600,0.000094
50700,0.000091
50800,0.000090
50900,0.000091
51000,0.000102
51100,0.000095
51200,0.000090
51300,0.000090
51400,0.000091
51500,0.000092
51600,0.000095
51700,0.000091
51800,0.000092
51900,0.000092
52000,0.000093
52100,0.000096
52200,0.000094
52300,0.000092
52400,0.000096
52500,0.000094
52600,0.000097
52700,0.000095
52800,0.000093
52900,0.000096
53000,0.000095
53100,0.000096
53200,0.000095
53300,0.000094
