input,time
0,0.000042
100,0.000039
200,0.000042
300,0.000038
400,0.000049
500,0.000030
600,0.000029
700,0.000030
800,0.000031
900,0.000031
1000,0.000032
1100,0.000032
1200,0.000032
1300,0.000039
1400,0.000033
1500,0.000034
1600,0.000036
1700,0.000036
1800,0.000036
1900,0.000034
2000,0.000033
2100,0.000033
2200,0.000036
2300,0.000036
2400,0.000036
2500,0.000036
2600,0.000033
2700,0.000036
2800,0.000039
2900,0.000036
3000,0.000036
3100,0.000036
3200,0.000036
3300,0.000037
3400,0.000047
3500,0.000036
3600,0.000037
3700,0.000039
3800,0.000036
3900,0.000037
4000,0.000036
4100,0.000037
4200,0.000036
4300,0.000036
4400,0.000037
4500,0.000037
4600,0.000037
4700,0.000038
4800,0.000036
4900,0.000036
5000,0.000039
5100,0.000040
5200,0.000039
5300,0.000036
5400,0.000037
5500,0.000039
5600,0.000039
5700,0.000047
5800,0.000037
5900,0.000038
6000,0.000053
6100,0.000040
6200,0.000045
6300,0.000046
6400,0.000043
6500,0.000043
6600,0.000046
6700,0.000046
6800,0.000043
6900,0.000045
7000,0.000045
7100,0.000046
7200,0.000047
7300,0.000046
7400,0.000046
7500,0.000049
7600,0.000052
7700,0.000054
7800,0.000063
7900,0.000057
8000,0.000054
8100,0.000046
8200,0.000044
8300,0.000047
8400,0.000044
8500,0.000044
8600,0.000044
8700,0.000045
8800,0.000046
8900,0.000045
9000,0.000047
9100,0.000044
9200,0.000048
9300,0.000045
9400,0.000047
9500,0.000048
9600,0.000045
9700,0.000045
9800,0.000047
9900,0.000049
10000,0.000046
10100,0.000047
10200,0.000045
10300,0.000045
10400,0.000047
10500,0.000047
10600,0.000048
10700,0.000047
10800,0.000046
10900,0.000048
11000,0.000046
11100,0.000050
11200,0.000050
11300,0.000043
11400,0.000047
11500,0.000041
11600,0.000039
11700,0.000042
11800,0.000042
11900,0.000043
12000,0.000043
12100,0.000040
12200,0.000045
12300,0.000042
12400,0.000047
12500,0.000044
12600,0.000042
12700,0.000049
12800,0.000049
12900,0.000054
13000,0.000051
13100,0.000045
13200,0.000043
13300,0.000043
13400,0.000049
13500,0.000051
13600,0.000055
13700,0.000052
13800,0.000055
13900,0.000049
14000,0.000049
14100,0.000051
14200,0.000049
14300,0.000049
14400,0.000050
14500,0.000051
