input,time
0,0.000034
100,0.000029
200,0.000029
300,0.000028
400,0.000035
500,0.000029
600,0.000030
700,0.000029
800,0.000029
900,0.000029
1000,0.000030
1100,0.000030
1200,0.000030
1300,0.000037
1400,0.000032
1500,0.000032
1600,0.000034
1700,0.000035
1800,0.000035
1900,0.000033
2000,0.000033
2100,0.000034
2200,0.000037
2300,0.000037
2400,0.000038
2500,0.000035
2600,0.000036
2700,0.000039
2800,0.000042
2900,0.000039
3000,0.000039
3100,0.000039
3200,0.000041
3300,0.000041
3400,0.000038
3500,0.000040
3600,0.000041
3700,0.000044
3800,0.000041
3900,0.000039
4000,0.000043
4100,0.000043
4200,0.000043
4300,0.000043
4400,0.000043
4500,0.000044
4600,0.000044
4700,0.000047
4800,0.000044
4900,0.000045
5000,0.000048
5100,0.000048
5200,0.000049
5300,0.000046
5400,0.000045
5500,0.000049
5600,0.000047
5700,0.000047
5800,0.000047
5900,0.000048
6000,0.000050
6100,0.000050
6200,0.000054
6300,0.000050
6400,0.000048
6500,0.000049
6600,0.000052
6700,0.000069
6800,0.000058
6900,0.000054
7000,0.000053
7100,0.000055
7200,0.000055
7300,0.000054
7400,0.000055
7500,0.000057
7600,0.000055
7700,0.000055
7800,0.000057
7900,0.000059
8000,0.000056
8100,0.000057
8200,0.000055
8300,0.000058
8400,0.000057
8500,0.000058
8600,0.000058
8700,0.000058
8800,0.000059
8900,0.000058
9000,0.000061
9100,0.000058
9200,0.000063
9300,0.000059
9400,0.000062
9500,0.000063
9600,0.000061
9700,0.000060
9800,0.000063
9900,0.000063
10000,0.000062
10100,0.000064
10200,0.000063
10300,0.000063
10400,0.000065
10500,0.000066
10600,0.000066
10700,0.000066
10800,0.000064
10900,0.000067
11000,0.000066
11100,0.000069
11200,0.000068
11300,0.000068
11400,0.000073
11500,0.000068
11600,0.000066
11700,0.000068
11800,0.000070
11900,0.000072
12000,0.000071
12100,0.000068
12200,0.000072
12300,0.000070
12400,0.000073
12500,0.000071
12600,0.000071
12700,0.000072
12800,0.000073
12900,0.000078
13000,0.000074
13100,0.000075
13200,0.000074
13300,0.000074
13400,0.000073
13500,0.000074
13600,0.000079
13700,0.000086
13800,0.000079
13900,0.000075
14000,0.000075
14100,0.000078
14200,0.000076
14300,0.000076
14400,0.000075
14500,0.000077
14600,0.000079
14700,0.000080
14800,0.000080
14900,0.000084
