input,time
0,0.000034
100,0.000029
200,0.000027
300,0.000028
400,0.000035
500,0.000029
600,0.000029
700,0.000029
800,0.000030
900,0.000032
1000,0.000040
1100,0.000040
1200,0.000032
1300,0.000034
1400,0.000031
1500,0.000032
1600,0.000035
1700,0.000036
1800,0.000035
1900,0.000032
2000,0.000034
2100,0.000033
2200,0.000036
2300,0.000036
2400,0.000039
2500,0.000037
2600,0.000035
2700,0.000038
2800,0.000038
2900,0.000039
3000,0.000039
3100,0.000039
3200,0.000039
3300,0.000040
3400,0.000037
3500,0.000041
3600,0.000041
3700,0.000041
3800,0.000042
3900,0.000042
4000,0.000043
4100,0.000055
4200,0.000042
4300,0.000043
4400,0.000044
4500,0.000043
4600,0.000043
4700,0.000047
4800,0.000044
4900,0.000047
5000,0.000048
5100,0.000047
5200,0.000048
5300,0.000046
5400,0.000047
5500,0.000051
5600,0.000046
5700,0.000048
5800,0.000051
5900,0.000055
6000,0.000054
6100,0.000051
6200,0.000052
6300,0.000062
6400,0.000051
6500,0.000053
6600,0.000052
6700,0.000052
6800,0.000050
6900,0.000053
7000,0.000054
7100,0.000052
7200,0.000054
7300,0.000054
7400,0.000057
7500,0.000054
7600,0.000055
7700,0.000054
7800,0.000060
7900,0.000056
8000,0.000055
8100,0.000056
8200,0.000064
8300,0.000057
8400,0.000057
8500,0.000059
8600,0.000062
8700,0.000058
8800,0.000059
8900,0.000062
9000,0.000058
9100,0.000058
9200,0.000063
9300,0.000059
9400,0.000062
9500,0.000061
9600,0.000060
9700,0.000071
9800,0.000063
9900,0.000064
10000,0.000061
10100,0.000064
10200,0.000063
10300,0.000062
10400,0.000064
10500,0.000065
10600,0.000066
10700,0.000066
10800,0.000063
10900,0.000065
11000,0.000067
11100,0.000067
11200,0.000067
11300,0.000069
11400,0.000070
11500,0.000068
11600,0.000066
11700,0.000069
11800,0.000072
11900,0.000071
12000,0.000076
12100,0.000071
12200,0.000074
12300,0.000090
12400,0.000099
12500,0.000077
12600,0.000075
12700,0.000072
12800,0.000074
12900,0.000075
13000,0.000073
13100,0.000075
13200,0.000073
13300,0.000076
13400,0.000074
13500,0.000074
13600,0.000076
13700,0.000076
13800,0.000086
13900,0.000098
14000,0.000075
14100,0.000079
14200,0.000079
14300,0.000076
14400,0.000079
14500,0.000076
14600,0.000081
14700,0.000076
14800,0.000083
14900,0.000082
