input,time
0,0.000030
100,0.000028
200,0.000029
300,0.000027
400,0.000027
500,0.000027
600,0.000026
700,0.000026
800,0.000028
900,0.000028
1000,0.000027
1100,0.000026
1200,0.000027
1300,0.000027
1400,0.000028
1500,0.000028
1600,0.000028
1700,0.000028
1800,0.000028
1900,0.000029
2000,0.000029
2100,0.000029
2200,0.000029
2300,0.000029
2400,0.000030
2500,0.000030
2600,0.000030
2700,0.000031
2800,0.000031
2900,0.000030
3000,0.000031
3100,0.000031
3200,0.000031
3300,0.000031
3400,0.000031
3500,0.000032
3600,0.000032
3700,0.000032
3800,0.000032
3900,0.000032
4000,0.000034
4100,0.000033
4200,0.000034
4300,0.000034
4400,0.000034
4500,0.000034
4600,0.000034
4700,0.000035
4800,0.000035
4900,0.000035
5000,0.000033
5100,0.000036
5200,0.000035
5300,0.000036
5400,0.000036
5500,0.000036
5600,0.000037
5700,0.000037
5800,0.000037
5900,0.000037
6000,0.000038
6100,0.000037
6200,0.000037
6300,0.000037
6400,0.000038
6500,0.000039
6600,0.000038
6700,0.000039
6800,0.000038
6900,0.000039
7000,0.000039
7100,0.000039
7200,0.000039
7300,0.000039
7400,0.000040
7500,0.000040
7600,0.000040
7700,0.000041
7800,0.000040
7900,0.000041
8000,0.000041
8100,0.000041
8200,0.000041
8300,0.000042
8400,0.000042
8500,0.000042
8600,0.000042
8700,0.000042
8800,0.000044
8900,0.000043
9000,0.000043
9100,0.000047
9200,0.000043
9300,0.000044
9400,0.000045
9500,0.000044
9600,0.000044
9700,0.000045
9800,0.000045
9900,0.000046
10000,0.000049
10100,0.000046
10200,0.000045
10300,0.000046
10400,0.000047
10500,0.000051
10600,0.000047
10700,0.000047
10800,0.000047
10900,0.000045
11000,0.000046
11100,0.000045
11200,0.000046
11300,0.000046
11400,0.000046
11500,0.000046
11600,0.000046
11700,0.000047
11800,0.000046
11900,0.000047
12000,0.000047
12100,0.000047
12200,0.000053
12300,0.000048
12400,0.000048
12500,0.000048
12600,0.000048
12700,0.000049
12800,0.000059
12900,0.000050
13000,0.000049
13100,0.000049
13200,0.000053
13300,0.000056
13400,0.000061
13500,0.000050
13600,0.000050
13700,0.000051
13800,0.000051
13900,0.000061
14000,0.000052
14100,0.000051
14200,0.000051
14300,0.000051
14400,0.000052
14500,0.000063
14600,0.000067
14700,0.000052
14800,0.000063
14900,0.000069
15000,0.000070
15100,0.000073
15200,0.000067
15300,0.000086
15400,0.000070
15500,0.000070
15600,0.000070
15700,0.000058
15800,0.000053
15900,0.000070
16000,0.000052
16100,0.000052
16200,0.000052
16300,0.000053
16400,0.000053
16500,0.000071
16600,0.000069
16700,0.000072
16800,0.000072
16900,0.000074
17000,0.000073
17100,0.000074
17200,0.000074
17300,0.000075
17400,0.000074
17500,0.000074
17600,0.000074
17700,0.000074
17800,0.000075
17900,0.000068
18000,0.000071
18100,0.000075
18200,0.000074
18300,0.000078
18400,0.000075
18500,0.000078
18600,0.000079
18700,0.000078
18800,0.000084
18900,0.000080
19000,0.000082
19100,0.000078
19200,0.000079
19300,0.000081
19400,0.000081
19500,0.000080
19600,0.000082
19700,0.000081
19800,0.000082
19900,0.000082
20000,0.000082
20100,0.000106
20200,0.000083
20300,0.000084
20400,0.000078
20500,0.000079
20600,0.000080
20700,0.000078
20800,0.000081
20900,0.000085
21000,0.000081
21100,0.000077
21200,0.000079
21300,0.000083
21400,0.000079
21500,0.000079
21600,0.000083
21700,0.000082
21800,0.000081
21900,0.000082
22000,0.000065
22100,0.000078
22200,0.000070
22300,0.000073
22400,0.000072
22500,0.000072
22600,0.000075
22700,0.000075
22800,0.000063
22900,0.000063
23000,0.000063
23100,0.000063
23200,0.000083
23300,0.000080
23400,0.000085
23500,0.000085
23600,0.000076
23700,0.000075
23800,0.000074
23900,0.000074
24000,0.000074
24100,0.000100
24200,0.000072
24300,0.000071
24400,0.000072
24500,0.000077
24600,0.000072
24700,0.000072
24800,0.000072
24900,0.000072
25000,0.000073
25100,0.000074
25200,0.000074
25300,0.000073
25400,0.000073
25500,0.000071
25600,0.000073
25700,0.000074
25800,0.000074
25900,0.000074
26000,0.000074
26100,0.000074
26200,0.000074
26300,0.000075
26400,0.000074
26500,0.000074
26600,0.000075
26700,0.000075
26800,0.000076
26900,0.000076
27000,0.000076
27100,0.000076
27200,0.000076
27300,0.000077
27400,0.000077
27500,0.000077
27600,0.000077
27700,0.000077
27800,0.000078
27900,0.000077
28000,0.000077
28100,0.000078
28200,0.000078
28300,0.000079
28400,0.000085
28500,0.000076
28600,0.000077
28700,0.000076
28800,0.000076
28900,0.000076
29000,0.000077
29100,0.000098
29200,0.000099
29300,0.000099
29400,0.000103
29500,0.000099
29600,0.000099
29700,0.000100
29800,0.000100
29900,0.000098
30000,0.000099
30100,0.000095
30200,0.000098
30300,0.000095
30400,0.000093
30500,0.000095
30600,0.000092
30700,0.000095
30800,0.000098
30900,0.000097
31000,0.000098
31100,0.000102
31200,0.000099
31300,0.000095
31400,0.000097
31500,0.000098
31600,0.000096
31700,0.000091
31800,0.000074
31900,0.000089
32000,0.000070
32100,0.000071
32200,0.000071
32300,0.000071
32400,0.000071
32500,0.000071
32600,0.000082
32700,0.000073
32800,0.000072
32900,0.000072
33000,0.000073
33100,0.000071
33200,0.000073
33300,0.000072
33400,0.000073
33500,0.000073
33600,0.000073
33700,0.000072
33800,0.000074
33900,0.000073
34000,0.000074
34100,0.000074
34200,0.000074
34300,0.000073
34400,0.000075
34500,0.000074
34600,0.000079
34700,0.000075
34800,0.000075
34900,0.000075
35000,0.000083
35100,0.000075
35200,0.000075
35300,0.000092
35400,0.000085
35500,0.000080
35600,0.000076
35700,0.000076
35800,0.000076
35900,0.000077
36000,0.000086
36100,0.000077
36200,0.000107
36300,0.000074
36400,0.000092
36500,0.000093
36600,0.000095
36700,0.000086
36800,0.000075
36900,0.000076
37000,0.000075
37100,0.000075
37200,0.000077
37300,0.000076
37400,0.000076
37500,0.000081
37600,0.000077
37700,0.000077
37800,0.000076
37900,0.000076
38000,0.000076
38100,0.000076
38200,0.000076
38300,0.000077
38400,0.000077
38500,0.000076
38600,0.000077
38700,0.000077
38800,0.000077
38900,0.000078
39000,0.000077
39100,0.000078
39200,0.000078
39300,0.000078
39400,0.000078
39500,0.000079
39600,0.000078
39700,0.000079
39800,0.000079
39900,0.000079
40000,0.000079
40100,0.000079
40200,0.000079
40300,0.000080
40400,0.000080
40500,0.000112
40600,0.000077
40700,0.000078
40800,0.000078
40900,0.000078
41000,0.000078
41100,0.000078
41200,0.000078
41300,0.000079
41400,0.000078
41500,0.000078
41600,0.000079
41700,0.000079
41800,0.000079
41900,0.000079
42000,0.000079
42100,0.000079
42200,0.000080
42300,0.000080
42400,0.000080
42500,0.000080
42600,0.000080
42700,0.000093
42800,0.000090
42900,0.000082
43000,0.000082
43100,0.000083
43200,0.000082
43300,0.000104
43400,0.000082
43500,0.000082
43600,0.000084
43700,0.000085
43800,0.000084
43900,0.000085
44000,0.000085
44100,0.000084
44200,0.000085
44300,0.000084
44400,0.000084
44500,0.000084
44600,0.000105
44700,0.000082
44800,0.000083
44900,0.000081
45000,0.000082
45100,0.000082
45200,0.000081
45300,0.000081
45400,0.000082
45500,0.000082
45600,0.000082
45700,0.000082
45800,0.000083
45900,0.000082
46000,0.000083
46100,0.000083
46200,0.000083
46300,0.000083
46400,0.000084
46500,0.000084
46600,0.000083
46700,0.000084
46800,0.000084
46900,0.000085
47000,0.000084
47100,0.000084
47200,0.000084
47300,0.000085
47400,0.000085
47500,0.000084
47600,0.000085
47700,0.000086
47800,0.000092
47900,0.000095
48000,0.000093
48100,0.000099
48200,0.000095
48300,0.000095
48400,0.000095
48500,0.000094
48600,0.000095
48700,0.000104
48800,0.000097
48900,0.000095
49000,0.000103
49100,0.000111
49200,0.000111
49300,0.000111
49400,0.000107
49500,0.000101
49600,0.000107
49700,0.000101
49800,0.000111
49900,0.000112
50000,0.000105
50100,0.000122
50200,0.000100
50300,0.000097
50400,0.000101
50500,0.000097
50600,0.000100
50700,0.000101
50800,0.000102
50900,0.000101
51000,0.000098
51100,0.000098
51200,0.000099
51300,0.000098
51400,0.000098
51500,0.000099
51600,0.000099
51700,0.000100
51800,0.000099
51900,0.000100
52000,0.000099
52100,0.000110
52200,0.000104
52300,0.000104
52400,0.000104
52500,0.000104
52600,0.000101
52700,0.000116
52800,0.000106
52900,0.000105
53000,0.000105
53100,0.000104
53200,0.000105
53300,0.000105
53400,0.000105
53500,0.000103
53600,0.000102
53700,0.000102
53800,0.000102
53900,0.000102
54000,0.000102
54100,0.000101
54200,0.000102
54300,0.000102
54400,0.000103
54500,0.000103
54600,0.000103
54700,0.000104
54800,0.000103
54900,0.000103
55000,0.000103
55100,0.000103
55200,0.000104
55300,0.000115
55400,0.000105
55500,0.000106
55600,0.000105
55700,0.000105
55800,0.000106
55900,0.000106
56000,0.000106
56100,0.000106
56200,0.000106
56300,0.000107
56400,0.000106
56500,0.000107
56600,0.000107
56700,0.000106
56800,0.000107
56900,0.000107
57000,0.000106
57100,0.000107
57200,0.000106
57300,0.000107
57400,0.000108
57500,0.000107
57600,0.000108
57700,0.000108
57800,0.000107
57900,0.000121
58000,0.000124
58100,0.000110
58200,0.000138
58300,0.000120
58400,0.000130
58500,0.000122
58600,0.000136
58700,0.000109
58800,0.000107
58900,0.000101
59000,0.000101
59100,0.000102
59200,0.000102
59300,0.000102
59400,0.000103
