input,time
0,0.000105
100,0.000082
200,0.000079
300,0.000085
400,0.000078
500,0.000078
600,0.000082
700,0.000079
800,0.000081
900,0.000079
1000,0.000084
1100,0.000082
1200,0.000079
1300,0.000082
1400,0.000082
1500,0.000080
1600,0.000082
1700,0.000083
1800,0.000082
1900,0.000083
2000,0.000085
2100,0.000083
2200,0.000086
2300,0.000082
2400,0.000104
2500,0.000085
2600,0.000086
2700,0.000085
2800,0.000084
2900,0.000084
3000,0.000085
3100,0.000077
3200,0.000075
3300,0.000082
3400,0.000073
3500,0.000080
3600,0.000077
3700,0.000076
3800,0.000077
3900,0.000076
4000,0.000078
4100,0.000079
4200,0.000078
4300,0.000077
4400,0.000079
4500,0.000078
4600,0.000078
4700,0.000080
4800,0.000078
4900,0.000079
5000,0.000081
5100,0.000085
5200,0.000081
5300,0.000079
5400,0.000079
5500,0.000084
5600,0.000080
5700,0.000083
5800,0.000079
5900,0.000081
6000,0.000082
6100,0.000087
6200,0.000083
6300,0.000082
6400,0.000080
6500,0.000081
6600,0.000082
6700,0.000083
6800,0.000081
6900,0.000083
7000,0.000085
7100,0.000087
7200,0.000100
7300,0.000085
7400,0.000088
7500,0.000086
7600,0.000085
7700,0.000088
7800,0.000088
7900,0.000091
8000,0.000085
8100,0.000086
8200,0.000087
8300,0.000086
8400,0.000085
8500,0.000090
8600,0.000086
8700,0.000089
8800,0.000087
8900,0.000090
9000,0.000091
9100,0.000086
9200,0.000088
9300,0.000088
9400,0.000087
9500,0.000088
9600,0.000087
9700,0.000087
9800,0.000089
9900,0.000098
10000,0.000099
10100,0.000096
10200,0.000100
10300,0.000096
10400,0.000099
10500,0.000103
10600,0.000099
10700,0.000102
10800,0.000089
10900,0.000091
11000,0.000091
11100,0.000090
11200,0.000091
11300,0.000094
11400,0.000092
11500,0.000111
11600,0.000167
11700,0.000093
11800,0.000096
11900,0.000092
12000,0.000091
12100,0.000092
12200,0.000091
12300,0.000095
12400,0.000098
12500,0.000063
12600,0.000063
12700,0.000052
12800,0.000051
12900,0.000053
13000,0.000052
13100,0.000054
13200,0.000052
13300,0.000054
13400,0.000052
13500,0.000054
13600,0.000053
13700,0.000055
13800,0.000058
13900,0.000052
14000,0.000055
14100,0.000047
14200,0.000045
14300,0.000037
14400,0.000039
14500,0.000058
14600,0.000044
14700,0.000047
14800,0.000044
14900,0.000043
15000,0.000043
15100,0.000044
15200,0.000043
15300,0.000044
15400,0.000060
15500,0.000040
15600,0.000038
15700,0.000039
15800,0.000040
15900,0.000039
16000,0.000040
16100,0.000039
16200,0.000040
16300,0.000040
16400,0.000040
16500,0.000039
16600,0.000040
16700,0.000039
16800,0.000039
16900,0.000040
17000,0.000041
17100,0.000040
17200,0.000040
17300,0.000044
17400,0.000040
17500,0.000042
17600,0.000040
17700,0.000041
17800,0.000039
17900,0.000040
18000,0.000042
18100,0.000041
18200,0.000041
18300,0.000042
18400,0.000042
18500,0.000042
18600,0.000045
18700,0.000042
18800,0.000040
18900,0.000040
19000,0.000043
19100,0.000041
19200,0.000040
19300,0.000042
19400,0.000040
19500,0.000044
19600,0.000040
19700,0.000042
19800,0.000043
19900,0.000044
20000,0.000041
20100,0.000043
20200,0.000043
20300,0.000042
20400,0.000044
20500,0.000042
20600,0.000042
20700,0.000043
20800,0.000042
20900,0.000042
21000,0.000043
21100,0.000046
21200,0.000042
21300,0.000043
21400,0.000042
21500,0.000043
21600,0.000044
21700,0.000043
21800,0.000043
21900,0.000043
22000,0.000044
22100,0.000044
22200,0.000045
22300,0.000046
22400,0.000044
22500,0.000043
22600,0.000045
22700,0.000046
22800,0.000045
22900,0.000054
23000,0.000045
23100,0.000044
23200,0.000046
23300,0.000044
23400,0.000045
23500,0.000049
23600,0.000045
23700,0.000044
23800,0.000045
23900,0.000045
24000,0.000050
24100,0.000046
24200,0.000045
24300,0.000045
24400,0.000045
24500,0.000046
24600,0.000048
24700,0.000046
24800,0.000044
24900,0.000045
25000,0.000047
25100,0.000046
25200,0.000045
25300,0.000046
25400,0.000046
25500,0.000046
25600,0.000054
25700,0.000046
25800,0.000046
25900,0.000046
26000,0.000045
26100,0.000050
26200,0.000049
26300,0.000053
26400,0.000051
26500,0.000052
26600,0.000053
26700,0.000051
26800,0.000051
26900,0.000052
27000,0.000054
27100,0.000052
27200,0.000052
27300,0.000052
27400,0.000052
27500,0.000055
27600,0.000052
27700,0.000051
27800,0.000054
27900,0.000054
28000,0.000057
28100,0.000054
