input,time
0,0.000075
100,0.000075
200,0.000063
300,0.000067
400,0.000063
500,0.000062
600,0.000069
700,0.000063
800,0.000067
900,0.000063
1000,0.000068
1100,0.000068
1200,0.000064
1300,0.000086
1400,0.000068
1500,0.000064
1600,0.000069
1700,0.000070
1800,0.000070
1900,0.000066
2000,0.000066
2100,0.000066
2200,0.000069
2300,0.000067
2400,0.000096
2500,0.000067
2600,0.000070
2700,0.000066
2800,0.000066
2900,0.000067
3000,0.000065
3100,0.000065
3200,0.000066
3300,0.000067
3400,0.000064
3500,0.000069
3600,0.000066
3700,0.000066
3800,0.000066
3900,0.000064
4000,0.000067
4100,0.000073
4200,0.000067
4300,0.000068
4400,0.000068
4500,0.000067
4600,0.000068
4700,0.000070
4800,0.000069
4900,0.000069
5000,0.000071
5100,0.000068
5200,0.000071
5300,0.000068
5400,0.000068
5500,0.000074
5600,0.000069
5700,0.000075
5800,0.000069
5900,0.000069
6000,0.000072
6100,0.000086
6200,0.000068
6300,0.000071
6400,0.000067
6500,0.000072
6600,0.000070
6700,0.000070
6800,0.000068
6900,0.000073
7000,0.000098
7100,0.000091
7200,0.000096
7300,0.000095
7400,0.000100
7500,0.000099
7600,0.000083
7700,0.000082
7800,0.000075
7900,0.000071
8000,0.000072
8100,0.000072
8200,0.000074
8300,0.000075
8400,0.000072
8500,0.000071
8600,0.000071
8700,0.000071
8800,0.000073
8900,0.000073
9000,0.000071
9100,0.000073
9200,0.000075
9300,0.000078
9400,0.000073
9500,0.000096
9600,0.000091
9700,0.000073
9800,0.000113
9900,0.000076
10000,0.000076
10100,0.000070
10200,0.000073
10300,0.000070
10400,0.000072
10500,0.000075
10600,0.000072
10700,0.000073
10800,0.000071
10900,0.000078
11000,0.000072
11100,0.000074
11200,0.000073
11300,0.000076
11400,0.000073
11500,0.000072
11600,0.000073
11700,0.000073
11800,0.000073
11900,0.000073
12000,0.000073
12100,0.000073
12200,0.000080
12300,0.000073
12400,0.000079
12500,0.000073
12600,0.000100
12700,0.000103
12800,0.000104
12900,0.000098
13000,0.000099
13100,0.000105
13200,0.000097
13300,0.000106
13400,0.000125
13500,0.000087
13600,0.000092
13700,0.000103
13800,0.000106
