input,time
0,0.000035
100,0.000034
200,0.000026
300,0.000024
400,0.000024
500,0.000024
600,0.000024
700,0.000025
800,0.000024
900,0.000024
1000,0.000024
1100,0.000025
1200,0.000026
1300,0.000026
1400,0.000026
1500,0.000031
1600,0.000034
1700,0.000034
1800,0.000036
1900,0.000028
2000,0.000027
2100,0.000028
2200,0.000028
2300,0.000028
2400,0.000028
2500,0.000028
2600,0.000029
2700,0.000029
2800,0.000029
2900,0.000029
3000,0.000029
3100,0.000029
3200,0.000029
3300,0.000030
3400,0.000030
3500,0.000031
3600,0.000031
3700,0.000031
3800,0.000031
3900,0.000031
4000,0.000032
4100,0.000032
4200,0.000032
4300,0.000032
4400,0.000033
4500,0.000032
4600,0.000033
4700,0.000033
4800,0.000033
4900,0.000053
5000,0.000033
5100,0.000035
5200,0.000034
5300,0.000035
5400,0.000035
5500,0.000035
5600,0.000036
5700,0.000036
5800,0.000036
5900,0.000037
6000,0.000036
6100,0.000037
6200,0.000036
6300,0.000037
6400,0.000037
6500,0.000038
6600,0.000038
6700,0.000038
6800,0.000039
6900,0.000038
7000,0.000038
7100,0.000039
7200,0.000040
7300,0.000039
7400,0.000040
7500,0.000040
7600,0.000040
7700,0.000040
7800,0.000041
7900,0.000042
8000,0.000042
8100,0.000041
8200,0.000041
8300,0.000042
8400,0.000042
8500,0.000042
8600,0.000042
8700,0.000043
8800,0.000043
8900,0.000043
9000,0.000042
9100,0.000044
9200,0.000044
9300,0.000044
9400,0.000055
9500,0.000046
9600,0.000045
9700,0.000045
9800,0.000045
9900,0.000046
10000,0.000050
10100,0.000046
10200,0.000055
10300,0.000063
10400,0.000065
10500,0.000066
10600,0.000065
10700,0.000066
10800,0.000066
10900,0.000066
11000,0.000068
11100,0.000067
11200,0.000079
11300,0.000064
11400,0.000067
11500,0.000063
11600,0.000067
11700,0.000066
11800,0.000069
11900,0.000067
12000,0.000055
12100,0.000065
12200,0.000065
12300,0.000068
12400,0.000065
12500,0.000067
12600,0.000064
12700,0.000067
12800,0.000069
12900,0.000069
13000,0.000070
13100,0.000072
13200,0.000070
13300,0.000070
13400,0.000075
13500,0.000074
13600,0.000075
13700,0.000073
13800,0.000071
13900,0.000073
14000,0.000073
14100,0.000073
14200,0.000072
14300,0.000076
14400,0.000073
14500,0.000055
14600,0.000055
14700,0.000054
14800,0.000054
14900,0.000054
15000,0.000055
15100,0.000056
15200,0.000056
15300,0.000056
15400,0.000056
15500,0.000056
15600,0.000056
15700,0.000057
15800,0.000056
15900,0.000057
16000,0.000058
16100,0.000099
16200,0.000071
16300,0.000066
16400,0.000067
16500,0.000066
16600,0.000066
16700,0.000066
16800,0.000066
16900,0.000073
17000,0.000074
17100,0.000073
17200,0.000075
17300,0.000071
17400,0.000071
17500,0.000078
17600,0.000073
17700,0.000071
17800,0.000072
17900,0.000072
18000,0.000071
18100,0.000071
18200,0.000072
18300,0.000072
18400,0.000073
18500,0.000073
18600,0.000072
18700,0.000073
18800,0.000079
18900,0.000072
19000,0.000076
19100,0.000073
19200,0.000073
19300,0.000073
19400,0.000076
19500,0.000080
19600,0.000084
19700,0.000075
19800,0.000085
19900,0.000074
20000,0.000075
20100,0.000109
20200,0.000073
20300,0.000072
20400,0.000073
20500,0.000061
20600,0.000061
20700,0.000060
20800,0.000060
20900,0.000061
21000,0.000062
21100,0.000061
21200,0.000062
21300,0.000060
21400,0.000061
21500,0.000062
21600,0.000062
21700,0.000073
21800,0.000063
21900,0.000064
22000,0.000062
22100,0.000063
22200,0.000063
22300,0.000063
22400,0.000064
22500,0.000064
22600,0.000064
22700,0.000064
22800,0.000065
22900,0.000069
23000,0.000064
23100,0.000066
23200,0.000065
23300,0.000066
23400,0.000066
23500,0.000066
23600,0.000065
23700,0.000066
23800,0.000067
23900,0.000067
24000,0.000066
24100,0.000077
24200,0.000067
24300,0.000068
24400,0.000067
24500,0.000068
24600,0.000067
24700,0.000068
24800,0.000085
24900,0.000072
25000,0.000085
25100,0.000072
25200,0.000078
25300,0.000092
25400,0.000091
25500,0.000066
25600,0.000067
25700,0.000068
25800,0.000067
25900,0.000068
26000,0.000068
26100,0.000068
26200,0.000068
26300,0.000068
26400,0.000069
26500,0.000069
26600,0.000078
26700,0.000082
26800,0.000079
26900,0.000079
27000,0.000078
27100,0.000085
27200,0.000075
27300,0.000070
27400,0.000071
27500,0.000070
27600,0.000072
27700,0.000070
27800,0.000071
27900,0.000094
28000,0.000089
28100,0.000092
28200,0.000091
28300,0.000092
28400,0.000097
28500,0.000072
28600,0.000097
28700,0.000098
28800,0.000095
28900,0.000122
29000,0.000097
29100,0.000097
29200,0.000097
29300,0.000095
29400,0.000096
29500,0.000101
29600,0.000098
29700,0.000098
29800,0.000072
29900,0.000071
30000,0.000071
