input,time
0,0.000041
100,0.000038
200,0.000037
300,0.000038
400,0.000067
500,0.000031
600,0.000029
700,0.000029
800,0.000028
900,0.000030
1000,0.000033
1100,0.000038
1200,0.000038
1300,0.000049
1400,0.000040
1500,0.000039
1600,0.000038
1700,0.000032
1800,0.000032
1900,0.000030
2000,0.000029
2100,0.000029
2200,0.000032
2300,0.000033
2400,0.000033
2500,0.000029
2600,0.000029
2700,0.000033
2800,0.000035
2900,0.000032
3000,0.000033
3100,0.000032
3200,0.000032
3300,0.000032
3400,0.000029
3500,0.000032
3600,0.000032
3700,0.000035
3800,0.000033
3900,0.000030
4000,0.000032
4100,0.000032
4200,0.000034
4300,0.000032
4400,0.000032
4500,0.000032
4600,0.000033
4700,0.000034
4800,0.000032
4900,0.000033
5000,0.000035
5100,0.000036
5200,0.000035
5300,0.000033
5400,0.000032
5500,0.000035
5600,0.000032
5700,0.000032
5800,0.000032
5900,0.000032
6000,0.000034
6100,0.000033
6200,0.000037
6300,0.000035
6400,0.000032
6500,0.000032
6600,0.000034
6700,0.000035
6800,0.000033
6900,0.000035
7000,0.000034
7100,0.000035
7200,0.000035
7300,0.000034
7400,0.000035
7500,0.000038
7600,0.000036
7700,0.000035
7800,0.000040
7900,0.000038
8000,0.000035
8100,0.000035
8200,0.000034
8300,0.000065
8400,0.000033
8500,0.000033
8600,0.000033
8700,0.000034
8800,0.000032
8900,0.000033
9000,0.000035
9100,0.000034
9200,0.000035
9300,0.000033
9400,0.000039
9500,0.000035
9600,0.000034
9700,0.000033
9800,0.000035
9900,0.000036
10000,0.000034
10100,0.000038
10200,0.000034
10300,0.000033
10400,0.000035
10500,0.000035
10600,0.000036
10700,0.000035
10800,0.000033
10900,0.000035
11000,0.000035
11100,0.000038
11200,0.000041
11300,0.000036
11400,0.000043
11500,0.000035
11600,0.000034
11700,0.000036
11800,0.000035
11900,0.000038
12000,0.000040
12100,0.000033
12200,0.000038
12300,0.000040
12400,0.000037
12500,0.000036
12600,0.000036
12700,0.000035
12800,0.000036
12900,0.000045
13000,0.000036
13100,0.000042
13200,0.000036
13300,0.000042
13400,0.000037
13500,0.000038
13600,0.000044
13700,0.000038
13800,0.000041
13900,0.000036
14000,0.000037
14100,0.000042
14200,0.000045
14300,0.000039
14400,0.000036
14500,0.000049
14600,0.000059
14700,0.000055
14800,0.000064
14900,0.000054
15000,0.000049
15100,0.000064
15200,0.000050
15300,0.000056
15400,0.000053
15500,0.000066
15600,0.000036
15700,0.000053
15800,0.000049
15900,0.000054
16000,0.000051
16100,0.000056
16200,0.000052
16300,0.000049
16400,0.000059
16500,0.000047
16600,0.000047
16700,0.000046
16800,0.000052
16900,0.000046
17000,0.000050
17100,0.000049
17200,0.000056
17300,0.000046
17400,0.000045
17500,0.000053
17600,0.000050
17700,0.000052
17800,0.000047
17900,0.000052
18000,0.000043
18100,0.000039
18200,0.000047
18300,0.000039
18400,0.000048
18500,0.000039
18600,0.000040
18700,0.000041
18800,0.000042
18900,0.000047
19000,0.000040
19100,0.000040
19200,0.000041
19300,0.000040
19400,0.000053
19500,0.000045
19600,0.000036
19700,0.000040
19800,0.000038
19900,0.000038
20000,0.000040
20100,0.000037
20200,0.000049
20300,0.000040
20400,0.000039
20500,0.000038
20600,0.000040
20700,0.000038
20800,0.000038
20900,0.000045
21000,0.000038
21100,0.000038
21200,0.000040
21300,0.000040
21400,0.000043
21500,0.000044
21600,0.000059
21700,0.000038
21800,0.000042
21900,0.000043
22000,0.000048
22100,0.000044
22200,0.000053
22300,0.000051
22400,0.000041
22500,0.000043
22600,0.000066
22700,0.000047
22800,0.000040
22900,0.000046
23000,0.000049
23100,0.000041
23200,0.000052
23300,0.000040
23400,0.000044
23500,0.000049
23600,0.000040
23700,0.000040
23800,0.000062
23900,0.000057
24000,0.000053
24100,0.000048
24200,0.000046
24300,0.000096
24400,0.000051
24500,0.000041
24600,0.000043
24700,0.000046
24800,0.000050
24900,0.000042
25000,0.000046
25100,0.000041
25200,0.000040
25300,0.000052
25400,0.000045
25500,0.000043
25600,0.000046
25700,0.000041
25800,0.000049
25900,0.000045
26000,0.000042
26100,0.000045
26200,0.000049
26300,0.000054
26400,0.000039
26500,0.000045
26600,0.000039
26700,0.000041
26800,0.000046
26900,0.000043
27000,0.000045
27100,0.000040
27200,0.000039
27300,0.000041
27400,0.000041
27500,0.000049
27600,0.000043
27700,0.000041
27800,0.000042
27900,0.000043
28000,0.000045
28100,0.000041
28200,0.000046
28300,0.000041
28400,0.000042
28500,0.000046
28600,0.000039
28700,0.000044
28800,0.000043
28900,0.000044
29000,0.000047
29100,0.000048
29200,0.000057
29300,0.000042
29400,0.000041
29500,0.000043
29600,0.000040
29700,0.000039
29800,0.000040
29900,0.000041
30000,0.000044
30100,0.000040
30200,0.000042
30300,0.000042
30400,0.000044
30500,0.000059
30600,0.000039
30700,0.000039
30800,0.000045
30900,0.000040
31000,0.000046
31100,0.000041
31200,0.000041
31300,0.000040
31400,0.000042
31500,0.000047
31600,0.000040
31700,0.000042
31800,0.000040
31900,0.000045
32000,0.000049
32100,0.000044
32200,0.000044
32300,0.000044
32400,0.000044
32500,0.000049
32600,0.000042
32700,0.000044
32800,0.000044
32900,0.000042
33000,0.000043
33100,0.000042
33200,0.000058
33300,0.000043
33400,0.000050
33500,0.000044
33600,0.000049
33700,0.000044
33800,0.000044
33900,0.000045
34000,0.000073
34100,0.000041
