input,time
0,0.000035
100,0.000032
200,0.000031
300,0.000032
400,0.000032
500,0.000032
600,0.000032
700,0.000032
800,0.000032
900,0.000032
1000,0.000033
1100,0.000033
1200,0.000032
1300,0.000032
1400,0.000032
1500,0.000033
1600,0.000032
1700,0.000033
1800,0.000033
1900,0.000033
2000,0.000032
2100,0.000033
2200,0.000034
2300,0.000053
2400,0.000034
2500,0.000034
2600,0.000034
2700,0.000034
2800,0.000035
2900,0.000033
3000,0.000034
3100,0.000034
3200,0.000035
3300,0.000034
3400,0.000035
3500,0.000036
3600,0.000035
3700,0.000035
3800,0.000035
3900,0.000036
4000,0.000036
4100,0.000036
4200,0.000036
4300,0.000034
4400,0.000037
4500,0.000036
4600,0.000037
4700,0.000037
4800,0.000037
4900,0.000037
5000,0.000036
5100,0.000037
5200,0.000038
5300,0.000038
5400,0.000038
5500,0.000038
5600,0.000038
5700,0.000040
5800,0.000038
5900,0.000039
6000,0.000038
6100,0.000038
6200,0.000038
6300,0.000039
6400,0.000040
6500,0.000037
6600,0.000039
6700,0.000037
6800,0.000038
6900,0.000038
7000,0.000039
7100,0.000038
7200,0.000039
7300,0.000039
7400,0.000039
7500,0.000040
7600,0.000040
7700,0.000039
7800,0.000039
7900,0.000040
8000,0.000040
8100,0.000040
8200,0.000039
8300,0.000041
8400,0.000039
8500,0.000040
8600,0.000041
8700,0.000041
8800,0.000041
8900,0.000041
9000,0.000040
9100,0.000041
9200,0.000041
9300,0.000041
9400,0.000053
9500,0.000038
9600,0.000038
9700,0.000038
9800,0.000039
9900,0.000040
10000,0.000039
10100,0.000040
10200,0.000039
10300,0.000040
10400,0.000040
10500,0.000039
10600,0.000039
10700,0.000040
10800,0.000041
10900,0.000041
11000,0.000041
11100,0.000040
11200,0.000040
11300,0.000040
11400,0.000041
11500,0.000041
11600,0.000041
11700,0.000040
11800,0.000041
11900,0.000041
12000,0.000040
12100,0.000042
12200,0.000041
12300,0.000040
12400,0.000047
12500,0.000046
12600,0.000043
12700,0.000053
