input,time
0,0.000002
100,0.000002
200,0.000002
300,0.000003
400,0.000004
500,0.000004
600,0.000006
700,0.000007
800,0.000007
900,0.000008
1000,0.000010
1100,0.000010
1200,0.000010
1300,0.000012
1400,0.000013
1500,0.000013
1600,0.000014
1700,0.000016
1800,0.000017
1900,0.000017
2000,0.000018
2100,0.000019
2200,0.000019
2300,0.000020
2400,0.000022
2500,0.000022
2600,0.000023
2700,0.000023
2800,0.000025
2900,0.000026
3000,0.000026
3100,0.000027
3200,0.000029
3300,0.000029
3400,0.000030
3500,0.000030
3600,0.000032
3700,0.000033
3800,0.000034
3900,0.000034
4000,0.000035
4100,0.000036
4200,0.000054
4300,0.000038
4400,0.000039
4500,0.000039
4600,0.000041
4700,0.000041
4800,0.000042
4900,0.000043
5000,0.000044
5100,0.000044
5200,0.000046
5300,0.000046
5400,0.000048
5500,0.000048
5600,0.000049
5700,0.000050
5800,0.000051
5900,0.000051
6000,0.000053
6100,0.000053
6200,0.000055
6300,0.000128
6400,0.000057
6500,0.000057
6600,0.000058
6700,0.000058
6800,0.000060
6900,0.000060
7000,0.000062
7100,0.000062
7200,0.000063
7300,0.000064
7400,0.000065
7500,0.000065
7600,0.000067
7700,0.000079
7800,0.000068
7900,0.000069
8000,0.000070
8100,0.000071
8200,0.000072
8300,0.000073
8400,0.000073
8500,0.000074
8600,0.000076
8700,0.000076
8800,0.000077
8900,0.000077
9000,0.000096
9100,0.000079
9200,0.000080
9300,0.000081
9400,0.000082
9500,0.000083
9600,0.000083
9700,0.000095
9800,0.000086
9900,0.000086
10000,0.000088
10100,0.000088
10200,0.000101
10300,0.000092
10400,0.000091
10500,0.000092
10600,0.000092
10700,0.000093
10800,0.000094
10900,0.000095
11000,0.000096
11100,0.000109
11200,0.000111
11300,0.000099
11400,0.000099
11500,0.000100
11600,0.000101
11700,0.000102
11800,0.000103
11900,0.000104
12000,0.000105
12100,0.000105
12200,0.000121
12300,0.000108
12400,0.000108
12500,0.000109
12600,0.000110
12700,0.000111
12800,0.000112
12900,0.000112
13000,0.000125
13100,0.000119
13200,0.000115
13300,0.000116
13400,0.000117
13500,0.000118
13600,0.000119
13700,0.000119
13800,0.000121
13900,0.000145
14000,0.000122
14100,0.000123
14200,0.000124
14300,0.000125
14400,0.000126
14500,0.000126
14600,0.000140
14700,0.000131
14800,0.000129
14900,0.000130
15000,0.000131
15100,0.000132
15200,0.000135
15300,0.000133
15400,0.000147
15500,0.000135
15600,0.000136
15700,0.000137
15800,0.000138
15900,0.000139
16000,0.000139
16100,0.000153
16200,0.000141
16300,0.000159
16400,0.000143
16500,0.000144
16600,0.000145
16700,0.000146
16800,0.000158
16900,0.000148
17000,0.000149
17100,0.000149
17200,0.000152
17300,0.000151
17400,0.000164
17500,0.000152
17600,0.000153
17700,0.000155
17800,0.000155
17900,0.000156
18000,0.000169
18100,0.000160
18200,0.000159
18300,0.000160
18400,0.000160
18500,0.000161
18600,0.000162
18700,0.000175
18800,0.000164
18900,0.000165
19000,0.000166
19100,0.000167
19200,0.000180
19300,0.000172
19400,0.000169
19500,0.000170
19600,0.000171
19700,0.000171
19800,0.000185
19900,0.000207
20000,0.000175
20100,0.000187
20200,0.000176
20300,0.000190
20400,0.000215
20500,0.000179
20600,0.000180
20700,0.000181
20800,0.000194
20900,0.000373
21000,0.000183
21100,0.000184
21200,0.000184
21300,0.000306
21400,0.000187
21500,0.000188
21600,0.000188
21700,0.000201
21800,0.000190
21900,0.000332
22000,0.000192
22100,0.000192
22200,0.000194
22300,0.000195
22400,0.000298
22500,0.000196
22600,0.000197
22700,0.000198
22800,0.000199
22900,0.000212
23000,0.000201
23100,0.000201
23200,0.000234
23300,0.000203
23400,0.000219
23500,0.000205
23600,0.000206
23700,0.000207
23800,0.000220
23900,0.000219
24000,0.000209
24100,0.000431
24200,0.000223
24300,0.000212
24400,0.000212
24500,0.000213
24600,0.000226
24700,0.000216
24800,0.000345
24900,0.000217
25000,0.000230
25100,0.000219
25200,0.000220
25300,0.000251
25400,0.000225
25500,0.000235
25600,0.000224
25700,0.000224
25800,0.000225
25900,0.000287
26000,0.000227
26100,0.000228
26200,0.000228
26300,0.000241
26400,0.000230
26500,0.000231
26600,0.000232
26700,0.000233
26800,0.000222
26900,0.000223
27000,0.000363
27100,0.000236
27200,0.000226
27300,0.000241
27400,0.000259
27500,0.000240
27600,0.000229
27700,0.000229
27800,0.000231
27900,0.000243
28000,0.000232
28100,0.000232
28200,0.000234
28300,0.000234
28400,0.000247
28500,0.000236
28600,0.000237
28700,0.000238
28800,0.000250
28900,0.000240
29000,0.000246
29100,0.000241
29200,0.000254
29300,0.000243
29400,0.000268
29500,0.000247
29600,0.000257
29700,0.000247
29800,0.000460
29900,0.000260
30000,0.000249
30100,0.000249
30200,0.000251
30300,0.000263
30400,0.000253
30500,0.000253
30600,0.000254
30700,0.000266
30800,0.000256
30900,0.000274
31000,0.000257
31100,0.000258
31200,0.000269
31300,0.000288
31400,0.000260
31500,0.000263
31600,0.000273
31700,0.000262
31800,0.000264
31900,0.000264
32000,0.000305
32100,0.000266
32200,0.000277
32300,0.000504
32400,0.000269
32500,0.000270
32600,0.000289
32700,0.000271
32800,0.000272
32900,0.000273
33000,0.000314
33100,0.000274
33200,0.000275
33300,0.000287
33400,0.000277
33500,0.000278
33600,0.000281
33700,0.000291
33800,0.000280
33900,0.000281
34000,0.000293
34100,0.000283
34200,0.000283
34300,0.000299
34400,0.000296
