input,time
0,0.000001
100,0.000001
200,0.000003
300,0.000002
400,0.000003
500,0.000003
600,0.000009
700,0.000005
800,0.000005
900,0.000005
1000,0.000007
1100,0.000007
1200,0.000007
1300,0.000008
1400,0.000009
1500,0.000009
1600,0.000009
1700,0.000010
1800,0.000011
1900,0.000012
2000,0.000012
2100,0.000013
2200,0.000013
2300,0.000014
2400,0.000014
2500,0.000016
2600,0.000015
2700,0.000016
2800,0.000017
2900,0.000017
3000,0.000018
3100,0.000019
3200,0.000037
3300,0.000020
3400,0.000020
3500,0.000020
3600,0.000021
3700,0.000022
3800,0.000022
3900,0.000024
4000,0.000032
4100,0.000029
4200,0.000031
4300,0.000030
4400,0.000056
4500,0.000042
4600,0.000045
4700,0.000036
4800,0.000034
4900,0.000039
5000,0.000035
5100,0.000036
5200,0.000036
5300,0.000038
5400,0.000045
5500,0.000037
5600,0.000037
5700,0.000037
5800,0.000040
5900,0.000041
6000,0.000043
6100,0.000050
6200,0.000044
6300,0.000044
6400,0.000048
6500,0.000050
6600,0.000047
6700,0.000178
6800,0.000039
6900,0.000043
7000,0.000041
7100,0.000041
7200,0.000054
7300,0.000056
7400,0.000059
7500,0.000055
7600,0.000062
7700,0.000053
7800,0.000059
7900,0.000051
8000,0.000046
8100,0.000047
8200,0.000048
8300,0.000048
8400,0.000103
8500,0.000050
8600,0.000055
8700,0.000050
8800,0.000051
8900,0.000078
9000,0.000057
9100,0.000052
9200,0.000054
9300,0.000054
9400,0.000054
9500,0.000055
9600,0.000056
9700,0.000056
9800,0.000057
9900,0.000057
10000,0.000073
10100,0.000059
10200,0.000059
10300,0.000060
10400,0.000060
10500,0.000061
10600,0.000062
10700,0.000066
10800,0.000062
10900,0.000063
11000,0.000063
11100,0.000064
11200,0.000065
11300,0.000065
11400,0.000066
11500,0.000080
11600,0.000067
11700,0.000067
11800,0.000069
11900,0.000068
12000,0.000069
12100,0.000070
12200,0.000071
12300,0.000071
12400,0.000071
12500,0.000072
12600,0.000073
12700,0.000076
12800,0.000074
12900,0.000088
13000,0.000075
13100,0.000075
13200,0.000076
13300,0.000077
13400,0.000077
13500,0.000077
13600,0.000078
13700,0.000079
13800,0.000079
13900,0.000081
14000,0.000081
14100,0.000081
14200,0.000083
14300,0.000083
14400,0.000083
14500,0.000084
14600,0.000084
14700,0.000102
14800,0.000089
14900,0.000086
15000,0.000086
15100,0.000088
15200,0.000087
15300,0.000117
15400,0.000106
15500,0.000110
15600,0.000105
15700,0.000100
15800,0.000099
15900,0.000167
16000,0.000099
16100,0.000094
16200,0.000093
16300,0.000094
16400,0.000119
16500,0.000095
16600,0.000096
16700,0.000097
16800,0.000106
16900,0.000098
17000,0.000098
17100,0.000098
17200,0.000100
17300,0.000113
17400,0.000101
17500,0.000101
17600,0.000101
17700,0.000148
17800,0.000103
17900,0.000104
18000,0.000104
18100,0.000104
18200,0.000129
18300,0.000105
18400,0.000106
18500,0.000107
18600,0.000111
18700,0.000108
18800,0.000108
18900,0.000112
19000,0.000109
19100,0.000126
19200,0.000110
19300,0.000111
19400,0.000112
19500,0.000112
19600,0.000113
19700,0.000114
19800,0.000114
19900,0.000127
20000,0.000115
20100,0.000115
20200,0.000116
20300,0.000117
20400,0.000117
20500,0.000119
20600,0.000119
20700,0.000119
20800,0.000133
20900,0.000124
21000,0.000121
21100,0.000122
21200,0.000122
21300,0.000123
21400,0.000124
21500,0.000135
21600,0.000137
21700,0.000125
21800,0.000126
21900,0.000126
22000,0.000126
22100,0.000127
22200,0.000128
22300,0.000147
22400,0.000215
22500,0.000210
22600,0.000210
22700,0.000238
22800,0.000231
22900,0.000239
23000,0.000209
23100,0.000134
23200,0.000134
23300,0.000134
23400,0.000134
23500,0.000135
23600,0.000135
23700,0.000150
23800,0.000137
23900,0.000137
24000,0.000138
24100,0.000139
24200,0.000140
24300,0.000140
24400,0.000153
24500,0.000141
24600,0.000141
24700,0.000142
24800,0.000143
24900,0.000143
25000,0.000188
25100,0.000145
25200,0.000146
25300,0.000146
25400,0.000146
25500,0.000146
25600,0.000147
25700,0.000160
25800,0.000149
25900,0.000149
26000,0.000150
26100,0.000151
26200,0.000151
26300,0.000185
26400,0.000153
26500,0.000153
26600,0.000154
26700,0.000154
26800,0.000154
26900,0.000155
27000,0.000168
27100,0.000168
27200,0.000156
27300,0.000156
27400,0.000157
27500,0.000157
27600,0.000171
27700,0.000159
27800,0.000159
27900,0.000160
28000,0.000160
28100,0.000160
28200,0.000173
28300,0.000162
28400,0.000162
28500,0.000163
28600,0.000164
28700,0.000164
28800,0.000178
28900,0.000165
29000,0.000166
29100,0.000185
29200,0.000167
29300,0.000167
29400,0.000180
29500,0.000169
29600,0.000169
29700,0.000170
29800,0.000170
29900,0.000171
30000,0.000185
30100,0.000172
30200,0.000173
30300,0.000174
30400,0.000174
30500,0.000187
30600,0.000186
30700,0.000176
30800,0.000176
30900,0.000177
31000,0.000178
31100,0.000219
31200,0.000185
31300,0.000179
31400,0.000179
31500,0.000181
31600,0.000213
31700,0.000181
31800,0.000182
31900,0.000183
32000,0.000183
32100,0.000218
32200,0.000184
32300,0.000185
32400,0.000185
32500,0.000186
32600,0.000201
32700,0.000188
32800,0.000188
32900,0.000188
33000,0.000189
33100,0.000206
33200,0.000202
33300,0.000190
33400,0.000191
33500,0.000191
33600,0.000192
33700,0.000209
33800,0.000193
33900,0.000194
34000,0.000195
34100,0.000202
34200,0.000212
34300,0.000199
34400,0.000197
34500,0.000199
34600,0.000222
34700,0.000202
34800,0.000200
34900,0.000201
35000,0.000201
35100,0.000217
35200,0.000202
35300,0.000209
35400,0.000204
35500,0.000204
35600,0.000228
35700,0.000205
35800,0.000206
35900,0.000207
36000,0.000219
36100,0.000222
36200,0.000208
36300,0.000209
36400,0.000209
36500,0.000228
36600,0.000209
36700,0.000210
36800,0.000211
36900,0.000211
37000,0.000238
37100,0.000212
37200,0.000233
37300,0.000219
37400,0.000228
37500,0.000215
37600,0.000215
37700,0.000215
37800,0.000216
37900,0.000229
38000,0.000218
38100,0.000217
38200,0.000218
38300,0.000236
38400,0.000219
38500,0.000220
38600,0.000220
38700,0.000221
38800,0.000235
38900,0.000223
39000,0.000222
39100,0.000223
39200,0.000263
39300,0.000225
39400,0.000230
39500,0.000226
39600,0.000240
39700,0.000227
39800,0.000228
39900,0.000229
40000,0.000229
40100,0.000241
40200,0.000230
40300,0.000230
40400,0.000230
40500,0.000272
40600,0.000232
40700,0.000233
40800,0.000233
40900,0.000247
41000,0.000234
41100,0.000235
41200,0.000236
41300,0.000249
41400,0.000240
41500,0.000237
41600,0.000237
41700,0.000251
41800,0.000239
41900,0.000240
42000,0.000240
42100,0.000253
42200,0.000253
42300,0.000242
42400,0.000242
42500,0.000255
42600,0.000244
42700,0.000244
42800,0.000244
42900,0.000258
43000,0.000246
43100,0.000246
43200,0.000247
43300,0.000268
43400,0.000248
43500,0.000252
43600,0.000249
43700,0.000263
43800,0.000251
43900,0.000250
44000,0.000252
44100,0.000264
44200,0.000253
44300,0.000270
44400,0.000254
44500,0.000284
44600,0.000255
44700,0.000256
44800,0.000269
44900,0.000257
45000,0.000257
45100,0.000258
45200,0.000303
45300,0.000259
45400,0.000260
45500,0.000263
45600,0.000279
45700,0.000261
45800,0.000262
45900,0.000262
46000,0.000275
46100,0.000264
46200,0.000264
46300,0.000288
46400,0.000266
46500,0.000266
46600,0.000267
46700,0.000280
46800,0.000268
46900,0.000268
47000,0.000269
47100,0.000281
47200,0.000270
47300,0.000270
47400,0.000283
47500,0.000272
47600,0.000274
47700,0.000273
47800,0.000286
47900,0.000273
48000,0.000275
48100,0.000304
48200,0.000276
48300,0.000276
48400,0.000277
48500,0.000289
48600,0.000278
48700,0.000297
48800,0.000279
48900,0.000279
49000,0.000292
49100,0.000281
49200,0.000281
49300,0.000281
49400,0.000295
49500,0.000283
49600,0.000285
49700,0.000306
49800,0.000285
49900,0.000285
50000,0.000299
50100,0.000287
50200,0.000286
50300,0.000288
50400,0.000307
50500,0.000289
50600,0.000289
50700,0.000345
50800,0.000291
50900,0.000290
