input,time
0,0.000001
100,0.000001
200,0.000002
300,0.000002
400,0.000003
500,0.000003
600,0.000010
700,0.000005
800,0.000005
900,0.000006
1000,0.000006
1100,0.000007
1200,0.000007
1300,0.000008
1400,0.000008
1500,0.000009
1600,0.000010
1700,0.000010
1800,0.000010
1900,0.000011
2000,0.000012
2100,0.000012
2200,0.000013
2300,0.000014
2400,0.000014
2500,0.000016
2600,0.000019
2700,0.000016
2800,0.000016
2900,0.000017
3000,0.000017
3100,0.000018
3200,0.000019
3300,0.000019
3400,0.000019
3500,0.000021
3600,0.000025
3700,0.000029
3800,0.000035
3900,0.000031
4000,0.000031
4100,0.000031
4200,0.000068
4300,0.000026
4400,0.000026
4500,0.000026
4600,0.000031
4700,0.000041
4800,0.000027
4900,0.000028
5000,0.000029
5100,0.000029
5200,0.000030
5300,0.000030
5400,0.000031
5500,0.000032
5600,0.000032
5700,0.000033
5800,0.000033
5900,0.000034
6000,0.000035
6100,0.000035
6200,0.000035
6300,0.000037
6400,0.000036
6500,0.000038
6600,0.000040
6700,0.000038
6800,0.000039
6900,0.000040
7000,0.000040
7100,0.000041
7200,0.000041
7300,0.000042
7400,0.000055
7500,0.000043
7600,0.000054
7700,0.000044
7800,0.000045
7900,0.000045
8000,0.000045
8100,0.000047
8200,0.000047
8300,0.000047
8400,0.000049
8500,0.000048
8600,0.000052
8700,0.000050
8800,0.000050
8900,0.000051
9000,0.000052
9100,0.000052
9200,0.000052
9300,0.000054
9400,0.000066
9500,0.000054
9600,0.000055
9700,0.000056
9800,0.000056
9900,0.000057
10000,0.000057
10100,0.000058
10200,0.000058
10300,0.000059
10400,0.000060
10500,0.000060
10600,0.000061
10700,0.000063
10800,0.000062
10900,0.000062
11000,0.000063
11100,0.000076
11200,0.000064
11300,0.000065
11400,0.000065
11500,0.000066
11600,0.000066
11700,0.000067
11800,0.000068
11900,0.000068
12000,0.000069
12100,0.000069
12200,0.000070
12300,0.000070
12400,0.000071
12500,0.000083
12600,0.000072
12700,0.000075
12800,0.000073
12900,0.000074
13000,0.000074
13100,0.000075
13200,0.000076
13300,0.000076
13400,0.000077
13500,0.000077
13600,0.000078
13700,0.000078
13800,0.000091
13900,0.000080
14000,0.000080
14100,0.000081
14200,0.000081
14300,0.000082
14400,0.000083
14500,0.000083
14600,0.000083
14700,0.000084
14800,0.000087
14900,0.000085
15000,0.000161
15100,0.000087
15200,0.000087
15300,0.000087
15400,0.000088
15500,0.000088
15600,0.000089
15700,0.000090
15800,0.000090
15900,0.000091
16000,0.000106
16100,0.000092
16200,0.000092
16300,0.000093
16400,0.000093
16500,0.000094
16600,0.000095
16700,0.000095
16800,0.000099
16900,0.000096
17000,0.000110
17100,0.000098
17200,0.000098
17300,0.000099
17400,0.000100
17500,0.000100
17600,0.000100
17700,0.000136
17800,0.000118
17900,0.000114
18000,0.000103
18100,0.000103
18200,0.000104
18300,0.000104
18400,0.000105
18500,0.000106
18600,0.000106
18700,0.000107
18800,0.000107
18900,0.000122
19000,0.000109
19100,0.000109
19200,0.000110
19300,0.000110
19400,0.000111
19500,0.000111
19600,0.000112
19700,0.000125
19800,0.000113
19900,0.000114
20000,0.000114
20100,0.000115
20200,0.000115
20300,0.000115
20400,0.000117
20500,0.000117
20600,0.000129
20700,0.000119
20800,0.000119
20900,0.000121
21000,0.000120
21100,0.000121
21200,0.000121
21300,0.000121
21400,0.000134
21500,0.000123
21600,0.000123
21700,0.000124
21800,0.000125
21900,0.000125
22000,0.000125
22100,0.000125
22200,0.000138
22300,0.000127
22400,0.000128
22500,0.000128
22600,0.000129
22700,0.000135
22800,0.000128
22900,0.000140
23000,0.000132
23100,0.000130
23200,0.000130
23300,0.000131
23400,0.000131
23500,0.000151
23600,0.000135
23700,0.000147
23800,0.000136
23900,0.000137
24000,0.000137
24100,0.000137
24200,0.000137
24300,0.000138
24400,0.000151
24500,0.000139
24600,0.000140
24700,0.000141
24800,0.000142
24900,0.000142
25000,0.000145
25100,0.000155
25200,0.000143
25300,0.000144
25400,0.000170
25500,0.000175
25600,0.000146
25700,0.000146
25800,0.000146
25900,0.000147
26000,0.000148
26100,0.000161
26200,0.000149
26300,0.000150
26400,0.000150
26500,0.000151
26600,0.000151
26700,0.000164
26800,0.000153
26900,0.000153
27000,0.000154
27100,0.000157
27200,0.000155
27300,0.000216
27400,0.000157
27500,0.000157
27600,0.000157
27700,0.000157
27800,0.000158
27900,0.000171
28000,0.000166
28100,0.000162
28200,0.000153
28300,0.000153
28400,0.000154
28500,0.000166
28600,0.000155
28700,0.000156
28800,0.000156
28900,0.000156
29000,0.000158
29100,0.000171
29200,0.000170
29300,0.000159
29400,0.000159
29500,0.000160
29600,0.000161
29700,0.000161
29800,0.000173
29900,0.000162
30000,0.000163
30100,0.000163
30200,0.000164
30300,0.000164
30400,0.000176
30500,0.000165
30600,0.000165
30700,0.000166
30800,0.000166
30900,0.000167
31000,0.000179
31100,0.000176
31200,0.000172
31300,0.000171
31400,0.000171
31500,0.000205
31600,0.000211
31700,0.000173
31800,0.000173
31900,0.000173
32000,0.000174
32100,0.000187
32200,0.000175
32300,0.000176
32400,0.000177
32500,0.000177
32600,0.000189
32700,0.000183
32800,0.000177
32900,0.000178
33000,0.000179
33100,0.000179
33200,0.000194
33300,0.000180
33400,0.000181
33500,0.000182
33600,0.000182
33700,0.000198
33800,0.000183
33900,0.000184
34000,0.000185
34100,0.000185
34200,0.000197
34300,0.000194
34400,0.000188
34500,0.000188
34600,0.000189
34700,0.000201
34800,0.000190
34900,0.000200
35000,0.000191
35100,0.000191
35200,0.000192
35300,0.000206
35400,0.000193
35500,0.000193
35600,0.000194
35700,0.000194
35800,0.000247
35900,0.000196
36000,0.000196
36100,0.000197
36200,0.000214
36300,0.000196
36400,0.000196
36500,0.000197
36600,0.000197
36700,0.000197
36800,0.000238
36900,0.000199
37000,0.000199
37100,0.000200
37200,0.000201
37300,0.000215
37400,0.000201
37500,0.000201
37600,0.000202
37700,0.000203
37800,0.000225
37900,0.000204
38000,0.000205
38100,0.000205
38200,0.000205
38300,0.000217
38400,0.000207
38500,0.000207
38600,0.000208
38700,0.000208
38800,0.000221
38900,0.000209
39000,0.000210
39100,0.000211
39200,0.000223
39300,0.000212
39400,0.000214
39500,0.000213
39600,0.000213
39700,0.000226
39800,0.000215
39900,0.000215
40000,0.000215
40100,0.000228
40200,0.000217
40300,0.000217
40400,0.000232
40500,0.000219
40600,0.000230
40700,0.000220
40800,0.000220
40900,0.000221
41000,0.000232
41100,0.000221
41200,0.000222
41300,0.000223
41400,0.000250
41500,0.000223
41600,0.000236
41700,0.000225
41800,0.000225
41900,0.000225
42000,0.000225
42100,0.000239
42200,0.000227
42300,0.000227
42400,0.000228
42500,0.000254
42600,0.000230
42700,0.000230
42800,0.000241
42900,0.000242
43000,0.000231
43100,0.000232
43200,0.000232
43300,0.000245
43400,0.000234
43500,0.000243
43600,0.000236
43700,0.000236
43800,0.000249
43900,0.000237
44000,0.000238
44100,0.000239
44200,0.000458
44300,0.000480
44400,0.000504
44500,0.000479
44600,0.000521
44700,0.000482
44800,0.000540
44900,0.000483
45000,0.000505
45100,0.000486
45200,0.000508
45300,0.000488
45400,0.000511
45500,0.000491
45600,0.000511
45700,0.000490
45800,0.000512
45900,0.000513
46000,0.000493
46100,0.000527
46200,0.000495
46300,0.000583
46400,0.000497
46500,0.000519
46600,0.000403
46700,0.000254
46800,0.000266
46900,0.000256
47000,0.000293
47100,0.000257
47200,0.000275
47300,0.000258
47400,0.000258
47500,0.000270
47600,0.000262
47700,0.000260
47800,0.000261
47900,0.000273
48000,0.000261
48100,0.000262
48200,0.000262
48300,0.000275
48400,0.000264
48500,0.000272
48600,0.000276
48700,0.000267
48800,0.000268
48900,0.000267
49000,0.000280
49100,0.000269
49200,0.000269
49300,0.000270
49400,0.000282
49500,0.000271
49600,0.000274
49700,0.000284
49800,0.000273
49900,0.000274
50000,0.000274
50100,0.000287
50200,0.000275
50300,0.000276
50400,0.000276
50500,0.000288
50600,0.000285
50700,0.000278
50800,0.000290
50900,0.000280
