input,time
0,0.000015
100,0.000008
200,0.000009
300,0.000009
400,0.000009
500,0.000010
600,0.000009
700,0.000009
800,0.000010
900,0.000010
1000,0.000011
1100,0.000012
1200,0.000011
1300,0.000013
1400,0.000012
1500,0.000014
1600,0.000014
1700,0.000015
1800,0.000015
1900,0.000016
2000,0.000016
2100,0.000017
2200,0.000017
2300,0.000018
2400,0.000019
2500,0.000019
2600,0.000019
2700,0.000020
2800,0.000021
2900,0.000021
3000,0.000022
3100,0.000023
3200,0.000023
3300,0.000039
3400,0.000024
3500,0.000025
3600,0.000025
3700,0.000031
3800,0.000027
3900,0.000028
4000,0.000027
4100,0.000028
4200,0.000029
4300,0.000030
4400,0.000030
4500,0.000030
4600,0.000031
4700,0.000032
4800,0.000032
4900,0.000033
5000,0.000033
5100,0.000034
5200,0.000035
5300,0.000035
5400,0.000035
5500,0.000037
5600,0.000036
5700,0.000038
5800,0.000042
5900,0.000039
6000,0.000039
6100,0.000040
6200,0.000040
6300,0.000067
6400,0.000043
6500,0.000045
6600,0.000050
6700,0.000057
6800,0.000066
6900,0.000049
7000,0.000045
7100,0.000046
7200,0.000046
7300,0.000046
7400,0.000048
7500,0.000047
7600,0.000049
7700,0.000049
7800,0.000055
7900,0.000050
8000,0.000050
8100,0.000052
8200,0.000088
8300,0.000071
8400,0.000077
8500,0.000082
8600,0.000088
8700,0.000085
8800,0.000085
8900,0.000085
9000,0.000086
9100,0.000135
9200,0.000058
9300,0.000072
9400,0.000059
9500,0.000059
9600,0.000059
9700,0.000061
9800,0.000061
9900,0.000070
10000,0.000062
10100,0.000062
10200,0.000063
10300,0.000063
10400,0.000064
10500,0.000065
10600,0.000065
10700,0.000066
10800,0.000066
10900,0.000082
11000,0.000068
11100,0.000068
11200,0.000069
11300,0.000070
11400,0.000070
11500,0.000071
11600,0.000071
11700,0.000072
11800,0.000072
11900,0.000076
12000,0.000074
12100,0.000074
12200,0.000087
12300,0.000075
12400,0.000076
12500,0.000076
12600,0.000077
12700,0.000077
12800,0.000078
12900,0.000079
13000,0.000079
13100,0.000079
13200,0.000081
13300,0.000081
13400,0.000144
13500,0.000083
13600,0.000106
13700,0.000083
13800,0.000083
13900,0.000084
14000,0.000090
14100,0.000085
14200,0.000086
14300,0.000086
14400,0.000088
14500,0.000114
14600,0.000088
14700,0.000089
14800,0.000089
14900,0.000090
15000,0.000091
15100,0.000091
15200,0.000091
15300,0.000092
15400,0.000093
15500,0.000093
15600,0.000126
15700,0.000095
15800,0.000096
15900,0.000096
16000,0.000104
16100,0.000097
16200,0.000097
16300,0.000099
16400,0.000098
16500,0.000117
16600,0.000100
16700,0.000100
16800,0.000101
16900,0.000101
17000,0.000102
17100,0.000102
17200,0.000103
17300,0.000104
17400,0.000104
17500,0.000118
17600,0.000105
17700,0.000106
17800,0.000107
17900,0.000107
18000,0.000108
18100,0.000116
18200,0.000108
18300,0.000109
18400,0.000126
18500,0.000111
18600,0.000111
18700,0.000112
18800,0.000112
18900,0.000113
19000,0.000114
19100,0.000114
19200,0.000115
19300,0.000144
19400,0.000124
19500,0.000116
19600,0.000117
19700,0.000117
19800,0.000118
19900,0.000118
20000,0.000119
20100,0.000161
20200,0.000120
20300,0.000121
20400,0.000121
20500,0.000122
20600,0.000123
20700,0.000123
20800,0.000136
20900,0.000124
21000,0.000125
21100,0.000126
21200,0.000126
21300,0.000127
21400,0.000127
21500,0.000127
21600,0.000142
21700,0.000129
21800,0.000130
21900,0.000130
22000,0.000131
22100,0.000131
22200,0.000144
22300,0.000185
22400,0.000142
22500,0.000134
22600,0.000134
22700,0.000135
22800,0.000135
22900,0.000135
23000,0.000156
23100,0.000138
23200,0.000138
23300,0.000138
23400,0.000139
23500,0.000139
23600,0.000140
23700,0.000169
23800,0.000179
23900,0.000172
24000,0.000181
24100,0.000185
24200,0.000222
24300,0.000174
24400,0.000177
24500,0.000176
24600,0.000183
24700,0.000177
24800,0.000219
24900,0.000180
25000,0.000179
25100,0.000190
25200,0.000188
25300,0.000204
25400,0.000180
25500,0.000184
25600,0.000189
25700,0.000186
25800,0.000244
25900,0.000202
26000,0.000192
26100,0.000194
26200,0.000194
26300,0.000268
26400,0.000198
26500,0.000192
26600,0.000198
26700,0.000240
26800,0.000200
26900,0.000194
27000,0.000193
27100,0.000194
27200,0.000241
27300,0.000200
27400,0.000202
27500,0.000196
27600,0.000293
27700,0.000208
27800,0.000199
27900,0.000213
28000,0.000204
28100,0.000234
28200,0.000202
28300,0.000241
28400,0.000204
28500,0.000244
28600,0.000215
28700,0.000202
28800,0.000206
28900,0.000206
29000,0.000270
29100,0.000211
29200,0.000217
29300,0.000208
29400,0.000255
29500,0.000210
29600,0.000212
29700,0.000218
29800,0.000262
29900,0.000218
30000,0.000219
30100,0.000217
30200,0.000265
30300,0.000219
30400,0.000227
30500,0.000240
30600,0.000215
30700,0.000240
30800,0.000221
30900,0.000222
31000,0.000219
31100,0.000264
31200,0.000233
31300,0.000258
31400,0.000221
31500,0.000237
31600,0.000240
31700,0.000275
31800,0.000246
31900,0.000237
32000,0.000235
32100,0.000256
32200,0.000227
32300,0.000238
32400,0.000251
32500,0.000261
32600,0.000234
32700,0.000265
32800,0.000235
32900,0.000291
33000,0.000240
33100,0.000243
33200,0.000240
33300,0.000258
33400,0.000238
33500,0.000247
33600,0.000240
33700,0.000217
33800,0.000198
33900,0.000199
34000,0.000199
34100,0.000200
34200,0.000223
34300,0.000201
34400,0.000201
34500,0.000210
34600,0.000218
34700,0.000204
34800,0.000203
34900,0.000204
35000,0.000216
35100,0.000222
35200,0.000206
35300,0.000206
35400,0.000207
35500,0.000207
35600,0.000224
35700,0.000210
35800,0.000210
35900,0.000211
36000,0.000223
36100,0.000211
36200,0.000254
36300,0.000213
36400,0.000213
36500,0.000234
36600,0.000215
36700,0.000215
36800,0.000216
36900,0.000229
37000,0.000217
37100,0.000217
37200,0.000218
37300,0.000218
37400,0.000241
37500,0.000219
37600,0.000220
37700,0.000221
37800,0.000251
37900,0.000222
38000,0.000222
38100,0.000255
38200,0.000276
38300,0.000225
38400,0.000225
38500,0.000225
38600,0.000255
38700,0.000226
38800,0.000227
38900,0.000228
39000,0.000228
39100,0.000241
39200,0.000229
39300,0.000230
39400,0.000230
39500,0.000276
39600,0.000232
39700,0.000249
39800,0.000233
39900,0.000246
40000,0.000234
40100,0.000234
40200,0.000234
40300,0.000262
40400,0.000254
40500,0.000247
40600,0.000244
40700,0.000252
40800,0.000238
40900,0.000239
41000,0.000240
41100,0.000253
41200,0.000240
41300,0.000241
41400,0.000242
41500,0.000255
41600,0.000243
41700,0.000243
41800,0.000255
41900,0.000256
42000,0.000245
42100,0.000246
42200,0.000246
42300,0.000259
42400,0.000248
42500,0.000248
42600,0.000252
42700,0.000264
42800,0.000250
42900,0.000250
43000,0.000251
43100,0.000264
43200,0.000252
43300,0.000253
43400,0.000253
43500,0.000268
43600,0.000255
43700,0.000254
43800,0.000267
43900,0.000257
44000,0.000267
44100,0.000332
44200,0.000332
44300,0.000354
44400,0.000260
44500,0.000318
44600,0.000260
44700,0.000267
44800,0.000261
44900,0.000280
45000,0.000262
45100,0.000263
45200,0.000315
45300,0.000265
45400,0.000265
45500,0.000265
45600,0.000292
45700,0.000266
45800,0.000275
45900,0.000331
46000,0.000362
46100,0.000390
46200,0.000341
46300,0.000374
46400,0.000382
46500,0.000373
46600,0.000306
46700,0.000281
46800,0.000272
46900,0.000274
47000,0.000290
47100,0.000274
47200,0.000293
47300,0.000288
47400,0.000276
47500,0.000277
47600,0.000289
47700,0.000291
47800,0.000278
47900,0.000279
48000,0.000297
48100,0.000280
48200,0.000280
48300,0.000281
48400,0.000295
48500,0.000283
48600,0.000283
48700,0.000296
48800,0.000291
48900,0.000285
49000,0.000309
49100,0.000286
49200,0.000286
49300,0.000286
49400,0.000319
49500,0.000313
49600,0.000288
49700,0.000289
49800,0.000290
49900,0.000303
50000,0.000291
50100,0.000291
50200,0.000336
50300,0.000293
50400,0.000293
50500,0.000306
50600,0.000294
50700,0.000305
50800,0.000302
50900,0.000310
51000,0.000307
51100,0.000298
51200,0.000311
51300,0.000298
51400,0.000299
51500,0.000312
51600,0.000300
51700,0.000300
51800,0.000317
51900,0.000304
52000,0.000302
52100,0.000303
52200,0.000317
52300,0.000315
52400,0.000305
52500,0.000317
52600,0.000306
52700,0.000306
52800,0.000323
52900,0.000316
53000,0.000308
53100,0.000322
53200,0.000316
53300,0.000310
53400,0.000329
53500,0.000311
53600,0.000334
53700,0.000339
53800,0.000418
53900,0.000375
54000,0.000333
54100,0.000329
54200,0.000315
54300,0.000342
54400,0.000316
54500,0.000317
54600,0.000331
54700,0.000318
54800,0.000318
54900,0.000382
55000,0.000319
55100,0.000320
55200,0.000338
55300,0.000375
55400,0.000322
55500,0.000323
55600,0.000343
55700,0.000324
55800,0.000324
55900,0.000339
56000,0.000325
56100,0.000326
56200,0.000352
56300,0.000333
56400,0.000356
56500,0.000332
56600,0.000347
56700,0.000364
56800,0.000401
56900,0.000331
57000,0.000358
57100,0.000332
57200,0.000332
57300,0.000346
57400,0.000334
57500,0.000334
57600,0.000348
57700,0.000335
57800,0.000336
57900,0.000363
58000,0.000399
58100,0.000381
58200,0.000363
58300,0.000363
58400,0.000379
58500,0.000364
58600,0.000364
58700,0.000416
58800,0.000372
58900,0.000438
59000,0.000385
59100,0.000387
59200,0.000388
59300,0.000368
59400,0.000383
