input,time
0,0.000002
100,0.000001
200,0.000002
300,0.000003
400,0.000003
500,0.000004
600,0.000010
700,0.000005
800,0.000005
900,0.000006
1000,0.000006
1100,0.000007
1200,0.000007
1300,0.000008
1400,0.000008
1500,0.000009
1600,0.000009
1700,0.000010
1800,0.000011
1900,0.000011
2000,0.000012
2100,0.000013
2200,0.000013
2300,0.000013
2400,0.000015
2500,0.000016
2600,0.000016
2700,0.000016
2800,0.000017
2900,0.000017
3000,0.000018
3100,0.000018
3200,0.000018
3300,0.000020
3400,0.000020
3500,0.000020
3600,0.000021
3700,0.000022
3800,0.000022
3900,0.000022
4000,0.000024
4100,0.000024
4200,0.000024
4300,0.000025
4400,0.000026
4500,0.000026
4600,0.000030
4700,0.000027
4800,0.000028
4900,0.000028
5000,0.000029
5100,0.000030
5200,0.000030
5300,0.000047
5400,0.000031
5500,0.000032
5600,0.000032
5700,0.000033
5800,0.000034
5900,0.000034
6000,0.000034
6100,0.000035
6200,0.000046
6300,0.000037
6400,0.000037
6500,0.000037
6600,0.000041
6700,0.000038
6800,0.000040
6900,0.000039
7000,0.000041
7100,0.000041
7200,0.000041
7300,0.000042
7400,0.000043
7500,0.000043
7600,0.000044
7700,0.000044
7800,0.000127
7900,0.000045
8000,0.000046
8100,0.000046
8200,0.000047
8300,0.000048
8400,0.000048
8500,0.000049
8600,0.000052
8700,0.000050
8800,0.000050
8900,0.000052
9000,0.000051
9100,0.000052
9200,0.000053
9300,0.000053
9400,0.000054
9500,0.000054
9600,0.000068
9700,0.000056
9800,0.000057
9900,0.000057
10000,0.000057
10100,0.000058
10200,0.000058
10300,0.000059
10400,0.000060
10500,0.000061
10600,0.000061
10700,0.000063
10800,0.000062
10900,0.000062
11000,0.000063
11100,0.000063
11200,0.000077
11300,0.000065
11400,0.000065
11500,0.000066
11600,0.000067
11700,0.000067
11800,0.000067
11900,0.000068
12000,0.000069
12100,0.000070
12200,0.000070
12300,0.000071
12400,0.000071
12500,0.000072
12600,0.000085
12700,0.000076
12800,0.000074
12900,0.000074
13000,0.000075
13100,0.000075
13200,0.000076
13300,0.000076
13400,0.000077
13500,0.000077
13600,0.000078
13700,0.000078
13800,0.000080
13900,0.000092
14000,0.000080
14100,0.000081
