input,time
0,0.000002
100,0.000001
200,0.000002
300,0.000003
400,0.000002
500,0.000004
600,0.000009
700,0.000005
800,0.000005
900,0.000006
1000,0.000006
1100,0.000007
1200,0.000007
1300,0.000008
1400,0.000008
1500,0.000009
1600,0.000051
1700,0.000035
1800,0.000014
1900,0.000030
2000,0.000032
2100,0.000033
2200,0.000033
2300,0.000033
2400,0.000035
2500,0.000044
2600,0.000034
2700,0.000036
2800,0.000037
2900,0.000021
3000,0.000035
3100,0.000038
3200,0.000039
3300,0.000039
3400,0.000040
3500,0.000041
3600,0.000041
3700,0.000041
3800,0.000082
3900,0.000044
4000,0.000043
4100,0.000044
4200,0.000045
4300,0.000045
4400,0.000046
4500,0.000046
4600,0.000051
4700,0.000059
4800,0.000048
4900,0.000049
5000,0.000049
5100,0.000050
5200,0.000051
5300,0.000052
5400,0.000052
5500,0.000052
5600,0.000053
5700,0.000053
5800,0.000053
5900,0.000055
6000,0.000055
6100,0.000056
6200,0.000056
6300,0.000057
6400,0.000069
6500,0.000071
6600,0.000062
6700,0.000059
6800,0.000060
6900,0.000061
7000,0.000060
7100,0.000062
7200,0.000062
7300,0.000063
7400,0.000063
7500,0.000064
7600,0.000064
7700,0.000064
7800,0.000065
7900,0.000073
8000,0.000066
8100,0.000067
8200,0.000068
8300,0.000068
8400,0.000069
8500,0.000069
8600,0.000073
8700,0.000070
8800,0.000071
8900,0.000071
9000,0.000072
9100,0.000073
9200,0.000085
9300,0.000075
9400,0.000074
9500,0.000075
9600,0.000075
9700,0.000076
9800,0.000077
9900,0.000077
10000,0.000078
10100,0.000078
10200,0.000079
10300,0.000079
10400,0.000092
10500,0.000081
10600,0.000082
10700,0.000085
10800,0.000082
10900,0.000083
11000,0.000084
11100,0.000084
11200,0.000102
11300,0.000085
11400,0.000086
11500,0.000099
11600,0.000087
11700,0.000088
11800,0.000088
11900,0.000088
12000,0.000090
12100,0.000089
12200,0.000090
12300,0.000091
12400,0.000092
12500,0.000092
12600,0.000105
12700,0.000097
12800,0.000094
12900,0.000095
13000,0.000095
13100,0.000096
13200,0.000096
13300,0.000096
13400,0.000097
13500,0.000097
13600,0.000110
13700,0.000099
13800,0.000099
13900,0.000100
14000,0.000101
14100,0.000101
